,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
27009,30,40.0,,38.4,,33.0,29.0,,,,,68.2,,8.0,25.4,47.0,10.0,,35.5,36.2,,,,38.0,,10.0,,8.4,,3.0,-1.0,,,,,38.2,,-22.0,-4.6,17.0,-20.0,,5.5,6.2,,,,8.0,,,True,,True,True,,,,,False,,False,True,False,False,,True,True,,,,True,
27011,8,0.0,,0.0,,0.0,0.0,,,,,2.3,,0.7,0.1,0.0,1.0,,0.7,1.3,,,,0.0,,-8.0,,-8.0,,-8.0,-8.0,,,,,-5.7,,-7.3,-7.9,-8.0,-7.0,,-7.3,-6.7,,,,-8.0,,,False,,False,False,,,,,True,,True,True,False,True,,True,True,,,,False,
27013,136,140.0,321.0,139.5,,134.0,116.0,,,,,246.2,,111.2,132.7,163.0,120.0,,170.9,102.3,,,,148.0,,4.0,185.0,3.5,,-2.0,-20.0,,,,,110.2,,-24.8,-3.3,27.0,-16.0,,34.9,-33.7,,,,12.0,,False,True,,True,False,,,,,False,,False,True,False,False,,False,False,,,,False,
27015,18,12.0,,11.7,,11.0,10.0,,,,,39.1,,7.4,12.6,14.0,0.0,,8.2,23.5,,,,11.0,,-6.0,,-6.3,,-7.0,-8.0,,,,,21.1,,-10.6,-5.4,-4.0,-18.0,,-9.8,5.5,,,,-7.0,,,False,,False,False,,,,,False,,False,True,True,False,,False,True,,,,False,
27017,31,28.0,,27.8,,24.0,42.0,,,,,69.0,,8.9,23.8,28.0,6.0,,23.4,24.0,,,,27.0,,-3.0,,-3.2,,-7.0,11.0,,,,,38.0,,-22.1,-7.2,-3.0,-25.0,,-7.6,-7.0,,,,-4.0,,,False,,False,False,,,,,False,,False,False,False,False,,False,False,,,,False,
27019,173,180.0,307.7,180.8,,178.0,148.0,,,,,313.1,,111.7,184.2,171.0,27.0,,192.7,149.9,,,,150.0,,7.0,134.7,7.8,,5.0,-25.0,,,,,140.1,,-61.3,11.2,-2.0,-146.0,,19.7,-23.1,,,,-23.0,,False,False,,True,False,,,,,False,,False,False,True,False,,False,False,,,,False,
27021,21,24.0,,25.3,,21.0,32.0,,,,,70.7,,7.2,26.8,23.0,43.0,,14.5,18.5,,,,25.0,,3.0,,4.3,,0.0,11.0,,,,,49.7,,-13.8,5.8,2.0,22.0,,-6.5,-2.5,,,,4.0,,,False,,True,False,,,,,False,,False,False,True,False,,False,True,,,,False,
27023,25,14.0,,13.5,,11.0,10.0,,,,,19.1,,3.2,10.2,14.0,6.0,,10.1,12.8,,,,21.0,,-11.0,,-11.5,,-14.0,-15.0,,,,,-5.9,,-21.8,-14.8,-11.0,-19.0,,-14.9,-12.2,,,,-4.0,,,False,,False,False,,,,,True,,False,False,False,False,,False,False,,,,True,
27025,57,54.0,45.2,53.8,,45.0,67.0,,,,,129.0,,25.0,44.4,46.0,0.0,,20.4,58.1,,,,65.0,,-3.0,-11.8,-3.2,,-12.0,10.0,,,,,72.0,,-32.0,-12.6,-11.0,-57.0,,-36.6,1.1,,,,8.0,,False,False,,False,False,,,,,False,,False,False,False,False,,False,True,,,,False,
27027,40,74.0,84.2,72.1,,72.0,64.0,,,,,63.0,,33.9,78.8,120.0,13.0,,68.0,79.8,,,,59.0,,34.0,44.2,32.1,,32.0,24.0,,,,,23.0,,-6.1,38.8,80.0,-27.0,,28.0,39.8,,,,19.0,,False,True,,True,True,,,,,True,,True,False,False,True,,True,False,,,,True,
27029,3,0.0,,0.0,,0.0,0.0,,,,,0.5,,0.5,0.4,0.0,0.0,,0.0,,,,,0.0,,-3.0,,-3.0,,-3.0,-3.0,,,,,-2.5,,-2.5,-2.6,-3.0,-3.0,,-3.0,,,,,-3.0,,,True,,False,False,,,,,True,,True,True,False,False,,False,,,,,False,
27031,3,2.0,,2.3,,2.0,0.0,,,,,3.1,,,2.8,,6.0,,2.0,,,,,4.0,,-1.0,,-0.7,,-1.0,-3.0,,,,,0.1,,,-0.2,,3.0,,-1.0,,,,,1.0,,,True,,False,False,,,,,True,,,True,,False,,True,,,,,False,
27033,18,14.0,,12.0,,13.0,14.0,,,,,14.9,,3.4,14.4,24.0,6.0,,13.1,10.9,,,,15.0,,-4.0,,-6.0,,-5.0,-4.0,,,,,-3.1,,-14.6,-3.6,6.0,-12.0,,-4.9,-7.1,,,,-3.0,,,False,,False,False,,,,,True,,False,True,False,False,,False,False,,,,True,
27035,54,68.0,53.3,70.2,,59.0,106.0,,,,,125.7,,20.3,58.3,47.0,37.0,,22.2,79.4,,,,69.0,,14.0,-0.7,16.2,,5.0,52.0,,,,,71.7,,-33.7,4.3,-7.0,-17.0,,-31.8,25.4,,,,15.0,,True,False,,True,False,,,,,False,,False,True,True,False,,False,False,,,,False,
27037,857,948.0,1160.1,932.4,,950.0,927.0,,,,,962.2,,982.5,888.1,898.0,637.0,,962.5,952.8,1129.0,,,914.0,,91.0,303.1,75.4,,93.0,70.0,,,,,105.2,,125.5,31.1,41.0,-220.0,,105.5,95.8,272.0,,,57.0,,False,True,,False,True,,,,,False,,False,True,True,False,,False,False,False,,,True,
27039,19,8.0,,8.6,,5.0,0.0,,,,,26.8,,1.9,4.8,18.0,0.0,,4.5,5.7,,,,7.0,,-11.0,,-10.4,,-14.0,-19.0,,,,,7.8,,-17.1,-14.2,-1.0,-19.0,,-14.5,-13.3,,,,-12.0,,,True,,False,False,,,,,True,,False,False,True,False,,False,False,,,,False,
27041,12,26.0,,27.6,,27.0,27.0,,,,,62.2,,14.3,28.0,31.0,23.0,,27.8,35.7,,,,27.0,,14.0,,15.6,,15.0,15.0,,,,,50.2,,2.3,16.0,19.0,11.0,,15.8,23.7,,,,15.0,,,False,,False,False,,,,,False,,True,False,False,True,,False,False,,,,False,
27043,15,10.0,,11.2,,9.0,11.0,,,,,21.0,,7.4,8.4,13.0,11.0,,12.2,6.0,,,,14.0,,-5.0,,-3.8,,-6.0,-4.0,,,,,6.0,,-7.6,-6.6,-2.0,-4.0,,-2.8,-9.0,,,,-1.0,,,True,,False,True,,,,,False,,False,False,True,True,,True,False,,,,True,
27045,15,6.0,,5.7,,5.0,8.0,,,,,21.4,,4.1,2.4,12.0,0.0,,6.0,4.1,,,,7.0,,-9.0,,-9.3,,-10.0,-7.0,,,,,6.4,,-10.9,-12.6,-3.0,-15.0,,-9.0,-10.9,,,,-8.0,,,False,,False,True,,,,,True,,False,False,True,False,,True,False,,,,True,
27047,27,10.0,,16.2,,10.0,13.0,,,,,32.6,,1.5,11.4,43.0,7.0,,15.2,6.8,,,,6.0,,-17.0,,-10.8,,-17.0,-14.0,,,,,5.6,,-25.5,-15.6,16.0,-20.0,,-11.8,-20.2,,,,-21.0,,,True,,False,True,,,,,True,,False,True,True,False,,True,False,,,,False,
27049,46,38.0,,38.7,,37.0,52.0,,,,,71.0,,18.4,36.8,43.0,100.0,,89.6,29.0,,,,54.0,,-8.0,,-7.3,,-9.0,6.0,,,,,25.0,,-27.6,-9.2,-3.0,54.0,,43.6,-17.0,,,,8.0,,,True,,False,True,,,,,False,,False,False,True,False,,False,False,,,,False,
27051,4,10.0,,8.7,,8.0,2.0,,,,,17.0,,5.0,8.9,15.0,1.0,,7.7,,,,,12.0,,6.0,,4.7,,4.0,-2.0,,,,,13.0,,1.0,4.9,11.0,-3.0,,3.7,,,,,8.0,,,True,,True,True,,,,,False,,True,True,False,True,,True,,,,,False,
27053,2409,3020.0,3261.2,3010.2,2612.8,3007.0,3357.0,,,,,2448.3,,2531.0,2694.3,3281.0,1772.0,,2648.6,3093.4,3864.0,,,2806.0,,611.0,852.2,601.2,203.8,598.0,948.0,,,,,39.3,,122.0,285.3,872.0,-637.0,,239.6,684.4,1455.0,,,397.0,,False,True,True,True,False,,,,,True,,True,True,False,False,,True,False,False,,,True,
27055,28,2.0,,1.1,,3.0,9.0,,,,,5.2,,5.5,9.0,,1.0,,5.7,1.4,,,,2.0,,-26.0,,-26.9,,-25.0,-19.0,,,,,-22.8,,-22.5,-19.0,,-27.0,,-22.3,-26.6,,,,-26.0,,,False,,True,True,,,,,True,,True,True,,False,,True,False,,,,False,
27057,8,12.0,,11.6,,11.0,19.0,,,,,27.6,,1.5,9.9,10.0,13.0,,8.5,,,,,8.0,,4.0,,3.6,,3.0,11.0,,,,,19.6,,-6.5,1.9,2.0,5.0,,0.5,,,,,0.0,,,True,,True,False,,,,,False,,False,True,True,False,,True,,,,,True,
27059,38,42.0,,41.4,,38.0,48.0,,,,,56.8,,16.0,25.7,31.0,19.0,,218.1,42.8,,,,61.0,,4.0,,3.4,,0.0,10.0,,,,,18.8,,-22.0,-12.3,-7.0,-19.0,,180.1,4.8,,,,23.0,,,True,,True,False,,,,,False,,False,False,False,False,,False,False,,,,False,
27061,24,26.0,,28.9,,21.0,17.0,,,,,73.5,,17.7,37.8,30.0,8.0,,9.6,22.2,,,,20.0,,2.0,,4.9,,-3.0,-7.0,,,,,49.5,,-6.3,13.8,6.0,-16.0,,-14.4,-1.8,,,,-4.0,,,False,,False,False,,,,,False,,False,False,False,False,,False,True,,,,False,
27063,15,24.0,,25.1,,19.0,17.0,,,,,18.2,,9.5,25.6,,1.0,,5.3,20.7,,,,33.0,,9.0,,10.1,,4.0,2.0,,,,,3.2,,-5.5,10.6,,-14.0,,-9.7,5.7,,,,18.0,,,False,,True,True,,,,,True,,True,False,,False,,False,True,,,,False,
27065,18,14.0,,14.3,,14.0,23.0,,,,,29.4,,3.2,14.4,14.0,13.0,,72.2,10.4,,,,33.0,,-4.0,,-3.7,,-4.0,5.0,,,,,11.4,,-14.8,-3.6,-4.0,-5.0,,54.2,-7.6,,,,15.0,,,True,,False,False,,,,,False,,False,True,False,False,,False,False,,,,False,
27067,77,44.0,,44.4,,40.0,74.0,,,,,67.5,,18.7,54.6,92.0,28.0,,22.0,35.8,,,,46.0,,-33.0,,-32.6,,-37.0,-3.0,,,,,-9.5,,-58.3,-22.4,15.0,-49.0,,-55.0,-41.2,,,,-31.0,,,True,,False,True,,,,,True,,False,True,True,False,,False,False,,,,True,
27069,0,0.0,,0.3,,0.0,0.0,,,,,1.6,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,0.3,,0.0,0.0,,,,,1.6,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,False,,True,True,,,,,False,,False,False,True,True,,True,,,,,True,
27071,8,14.0,,10.6,,11.0,7.0,,,,,38.8,,3.5,7.7,13.0,27.0,,2.3,10.8,,,,11.0,,6.0,,2.6,,3.0,-1.0,,,,,30.8,,-4.5,-0.3,5.0,19.0,,-5.7,2.8,,,,3.0,,,True,,True,True,,,,,False,,True,True,True,False,,True,True,,,,True,
27073,4,2.0,,1.7,,0.0,0.0,,,,,1.0,,0.2,0.3,0.0,0.0,,0.0,1.7,,,,7.0,,-2.0,,-2.3,,-4.0,-4.0,,,,,-3.0,,-3.8,-3.7,-4.0,-4.0,,-4.0,-2.3,,,,3.0,,,False,,False,False,,,,,False,,False,False,False,False,,False,False,,,,False,
27075,7,6.0,,5.1,,3.0,0.0,,,,,6.6,,1.9,2.3,,2.0,,3.5,,,,,13.0,,-1.0,,-1.9,,-4.0,-7.0,,,,,-0.4,,-5.1,-4.7,,-5.0,,-3.5,,,,,6.0,,,False,,False,False,,,,,True,,False,False,,False,,False,,,,,False,
27077,5,2.0,,2.1,,2.0,0.0,,,,,7.3,,,0.2,0.0,9.0,,2.1,,,,,2.0,,-3.0,,-2.9,,-3.0,-5.0,,,,,2.3,,,-4.8,-5.0,4.0,,-2.9,,,,,-3.0,,,True,,False,False,,,,,True,,,False,False,False,,True,,,,,False,
27079,94,42.0,,41.9,,35.0,30.0,,,,,66.3,,26.8,36.7,42.0,39.0,,35.2,36.6,,,,28.0,,-52.0,,-52.1,,-59.0,-64.0,,,,,-27.7,,-67.2,-57.3,-52.0,-55.0,,-58.8,-57.4,,,,-66.0,,,False,,False,False,,,,,True,,False,False,False,False,,False,False,,,,False,
27081,5,8.0,,7.3,,3.0,0.0,,,,,11.5,,3.4,2.4,14.0,6.0,,3.3,,,,,6.0,,3.0,,2.3,,-2.0,-5.0,,,,,6.5,,-1.6,-2.6,9.0,1.0,,-1.7,,,,,1.0,,,True,,True,False,,,,,False,,True,True,False,True,,True,,,,,True,
27083,17,24.0,,25.0,,19.0,16.0,,,,,40.4,,4.4,14.9,,112.0,,55.0,21.0,,,,11.0,,7.0,,8.0,,2.0,-1.0,,,,,23.4,,-12.6,-2.1,,95.0,,38.0,4.0,,,,-6.0,,,False,,True,True,,,,,False,,False,True,,False,,False,True,,,,True,
27085,123,82.0,,83.6,,83.0,156.0,,,,,65.3,,104.6,63.9,72.0,310.0,,5292.6,65.2,,,,142.0,,-41.0,,-39.4,,-40.0,33.0,,,,,-57.7,,-18.4,-59.1,-51.0,187.0,,5169.6,-57.8,,,,19.0,,,True,,True,True,,,,,False,,True,False,False,False,,False,False,,,,True,
27087,6,8.0,,8.4,,3.0,0.0,,,,,7.2,,2.0,2.5,,10.0,,7.3,,,,,7.0,,2.0,,2.4,,-3.0,-6.0,,,,,1.2,,-4.0,-3.5,,4.0,,1.3,,,,,1.0,,,False,,False,False,,,,,True,,False,False,,False,,True,,,,,True,
27089,2,4.0,,3.4,,0.0,0.0,,,,,16.9,,1.0,0.5,,0.0,,0.5,3.9,,,,5.0,,2.0,,1.4,,-2.0,-2.0,,,,,14.9,,-1.0,-1.5,,-2.0,,-1.5,1.9,,,,3.0,,,True,,False,False,,,,,False,,True,True,,False,,True,True,,,,False,
27091,11,12.0,,11.8,,10.0,14.0,,,,,29.5,,0.9,7.8,26.0,20.0,,14.2,9.7,,,,8.0,,1.0,,0.8,,-1.0,3.0,,,,,18.5,,-10.1,-3.2,15.0,9.0,,3.2,-1.3,,,,-3.0,,,True,,False,False,,,,,False,,False,False,False,False,,False,False,,,,False,
27093,8,4.0,,4.0,,4.0,0.0,,,,,20.1,,5.7,1.7,11.0,3.0,,5.7,5.3,,,,2.0,,-4.0,,-4.0,,-4.0,-8.0,,,,,12.1,,-2.3,-6.3,3.0,-5.0,,-2.3,-2.7,,,,-6.0,,,True,,False,False,,,,,False,,True,False,True,False,,True,True,,,,False,
27095,12,30.0,,29.2,,24.0,62.0,,,,,40.2,,4.6,12.2,,12.0,,21.1,27.6,,,,43.0,,18.0,,17.2,,12.0,50.0,,,,,28.2,,-7.4,0.2,,0.0,,9.1,15.6,,,,31.0,,,True,,True,False,,,,,False,,True,True,,True,,True,True,,,,False,
27097,20,16.0,,14.6,,14.0,15.0,,,,,41.4,,8.0,17.3,16.0,6.0,,9.0,15.4,,,,16.0,,-4.0,,-5.4,,-6.0,-5.0,,,,,21.4,,-12.0,-2.7,-4.0,-14.0,,-11.0,-4.6,,,,-4.0,,,False,,False,False,,,,,False,,False,True,False,False,,False,False,,,,False,
27099,49,64.0,,68.2,,49.0,92.0,,,,,103.7,,12.0,49.6,131.0,14.0,,39.5,48.9,,,,51.0,,15.0,,19.2,,0.0,43.0,,,,,54.7,,-37.0,0.6,82.0,-35.0,,-9.5,-0.1,,,,2.0,,,False,,True,False,,,,,False,,False,True,False,False,,True,True,,,,True,
27101,13,4.0,,3.0,,3.0,4.0,,,,,12.5,,0.1,1.6,,0.0,,2.3,6.4,,,,1.0,,-9.0,,-10.0,,-10.0,-9.0,,,,,-0.5,,-12.9,-11.4,,-13.0,,-10.7,-6.6,,,,-12.0,,,False,,False,False,,,,,True,,False,False,,False,,False,True,,,,False,
27103,71,60.0,,54.8,,57.0,74.0,,,,,118.3,,24.0,57.9,57.0,54.0,,23.8,55.0,,,,55.0,,-11.0,,-16.2,,-14.0,3.0,,,,,47.3,,-47.0,-13.1,-14.0,-17.0,,-47.2,-16.0,,,,-16.0,,,False,,False,True,,,,,False,,False,False,False,False,,False,False,,,,False,
27105,60,44.0,,44.4,,39.0,0.0,,,,,26.8,,9.7,36.6,199.0,2.0,,40.4,44.3,,,,0.0,,-16.0,,-15.6,,-21.0,-60.0,,,,,-33.2,,-50.3,-23.4,139.0,-58.0,,-19.6,-15.7,,,,-60.0,,,True,,False,False,,,,,False,,False,False,False,False,,False,True,,,,False,
27107,7,10.0,,9.2,,5.0,0.0,,,,,13.6,,2.8,7.0,14.0,0.0,,0.9,8.9,,,,7.0,,3.0,,2.2,,-2.0,-7.0,,,,,6.6,,-4.2,-0.0,7.0,-7.0,,-6.1,1.9,,,,0.0,,,True,,True,False,,,,,False,,False,True,False,False,,False,True,,,,True,
27109,189,220.0,295.9,218.2,,199.0,237.0,,,,,258.9,,185.3,198.5,283.0,265.0,,196.2,201.4,182.0,,,239.0,,31.0,106.9,29.2,,10.0,48.0,,,,,69.9,,-3.7,9.5,94.0,76.0,,7.2,12.4,-7.0,,,50.0,,False,True,,True,False,,,,,False,,True,True,False,False,,True,True,True,,,False,
27111,47,44.0,53.6,46.3,,45.0,63.0,,,,,127.1,,11.9,37.5,40.0,0.0,,49.3,45.4,,,,52.0,,-3.0,6.6,-0.7,,-2.0,16.0,,,,,80.1,,-35.1,-9.5,-7.0,-47.0,,2.3,-1.6,,,,5.0,,False,True,,True,False,,,,,False,,False,False,False,False,,True,True,,,,False,
27113,0,10.0,,11.6,,6.0,0.0,,,,,20.7,,5.7,4.1,13.0,3.0,,4.7,12.6,,,,7.0,,10.0,,11.6,,6.0,0.0,,,,,20.7,,5.7,4.1,13.0,3.0,,4.7,12.6,,,,7.0,,,False,,True,True,,,,,False,,True,True,False,True,,True,False,,,,True,
27115,10,6.0,,6.4,,4.0,5.0,,,,,28.8,,0.2,2.7,16.0,7.0,,5.3,3.9,,,,10.0,,-4.0,,-3.6,,-6.0,-5.0,,,,,18.8,,-9.8,-7.3,6.0,-3.0,,-4.7,-6.1,,,,0.0,,,True,,False,False,,,,,False,,False,False,False,True,,False,False,,,,True,
27117,17,26.0,,26.7,,23.0,4.0,,,,,45.3,,15.1,21.2,28.0,6.0,,15.8,23.9,,,,20.0,,9.0,,9.7,,6.0,-13.0,,,,,28.3,,-1.9,4.2,11.0,-11.0,,-1.2,6.9,,,,3.0,,,False,,True,False,,,,,False,,True,True,False,False,,True,True,,,,True,
27119,29,46.0,,45.3,,42.0,52.0,,,,,78.8,,21.3,40.3,40.0,17.0,,75.3,36.0,,,,41.0,,17.0,,16.3,,13.0,23.0,,,,,49.8,,-7.7,11.3,11.0,-12.0,,46.3,7.0,,,,12.0,,,True,,True,False,,,,,False,,True,True,True,True,,False,True,,,,True,
27121,10,14.0,,14.1,,9.0,14.0,,,,,21.7,,4.1,9.6,15.0,3.0,,8.8,,,,,14.0,,4.0,,4.1,,-1.0,4.0,,,,,11.7,,-5.9,-0.4,5.0,-7.0,,-1.2,,,,,4.0,,,False,,True,False,,,,,False,,False,True,False,False,,True,,,,,False,
27123,1049,1362.0,1333.2,1344.1,1129.7,1350.0,1505.0,,,,,778.2,,1142.0,1413.4,1429.0,497.0,,891.3,1351.4,1558.0,,,1283.0,,313.0,284.2,295.1,80.7,301.0,456.0,,,,,-270.8,,93.0,364.4,380.0,-552.0,,-157.7,302.4,509.0,,,234.0,,True,True,True,True,False,,,,,True,,True,False,False,False,,True,True,False,,,True,
27125,4,14.0,,13.1,,4.0,,,,,,11.0,,0.7,5.9,,8.0,,3.0,,,,,14.0,,10.0,,9.1,,0.0,,,,,,7.0,,-3.3,1.9,,4.0,,-1.0,,,,,10.0,,,True,,True,,,,,,True,,True,True,,True,,True,,,,,False,
27127,10,12.0,,12.4,,4.0,7.0,,,,,12.3,,2.0,2.0,13.0,6.0,,3.4,10.3,,,,20.0,,2.0,,2.4,,-6.0,-3.0,,,,,2.3,,-8.0,-8.0,3.0,-4.0,,-6.6,0.3,,,,10.0,,,False,,False,False,,,,,False,,False,False,False,False,,False,True,,,,False,
27129,8,12.0,,15.3,,10.0,14.0,,,,,29.5,,5.8,8.2,14.0,1.0,,8.9,10.3,,,,10.0,,4.0,,7.3,,2.0,6.0,,,,,21.5,,-2.2,0.2,6.0,-7.0,,0.9,2.3,,,,2.0,,,False,,True,False,,,,,False,,True,True,False,False,,True,True,,,,True,
27131,87,94.0,221.0,91.9,,90.0,114.0,,,,,61.7,,31.9,83.7,139.0,25.0,,60.8,83.7,,,,101.0,,7.0,134.0,4.9,,3.0,27.0,,,,,-25.3,,-55.1,-3.3,52.0,-62.0,,-26.2,-3.3,,,,14.0,,False,True,,True,False,,,,,False,,False,True,False,False,,False,True,,,,False,
27133,13,20.0,,21.2,,20.0,24.0,,,,,33.6,,6.2,21.4,20.0,7.0,,5.9,51.0,,,,14.0,,7.0,,8.2,,7.0,11.0,,,,,20.6,,-6.8,8.4,7.0,-6.0,,-7.1,38.0,,,,1.0,,,False,,False,False,,,,,False,,True,False,False,True,,False,False,,,,True,
27135,16,10.0,,9.8,,8.0,8.0,,,,,19.9,,8.1,11.5,10.0,11.0,,5.5,7.8,,,,5.0,,-6.0,,-6.2,,-8.0,-8.0,,,,,3.9,,-7.9,-4.5,-6.0,-5.0,,-10.5,-8.2,,,,-11.0,,,False,,False,False,,,,,True,,False,True,False,True,,False,False,,,,False,
27137,220,224.0,120.7,210.0,,243.0,411.0,,,,,603.4,,306.9,275.5,189.0,,,263.4,225.3,368.0,,,315.0,,4.0,-99.3,-10.0,,23.0,191.0,,,,,383.4,,86.9,55.5,-31.0,,,43.4,5.3,148.0,,,95.0,,False,False,,False,False,,,,,False,,False,False,False,,,False,False,False,,,False,
27139,287,386.0,340.7,389.5,,373.0,401.0,,,,,519.4,,359.7,359.8,343.0,304.0,,410.7,343.5,383.0,,,405.0,,99.0,53.7,102.5,,86.0,114.0,,,,,232.4,,72.7,72.8,56.0,17.0,,123.7,56.5,96.0,,,118.0,,True,False,,True,False,,,,,False,,True,True,True,True,,False,True,True,,,False,
27141,103,178.0,189.6,177.6,,142.0,136.0,,,,,326.0,,123.2,126.1,154.0,28.0,,77.2,180.8,,,,137.0,,75.0,86.6,74.6,,39.0,33.0,,,,,223.0,,20.2,23.1,51.0,-75.0,,-25.8,77.8,,,,34.0,,False,True,,True,True,,,,,False,,True,True,True,False,,True,False,,,,True,
27143,22,12.0,,12.3,,11.0,10.0,,,,,24.4,,6.9,3.9,13.0,0.0,,13.9,12.8,,,,11.0,,-10.0,,-9.7,,-11.0,-12.0,,,,,2.4,,-15.1,-18.1,-9.0,-22.0,,-8.1,-9.2,,,,-11.0,,,True,,False,False,,,,,True,,False,False,True,False,,True,True,,,,False,
27145,185,158.0,122.8,148.5,,140.0,179.0,,,,,314.0,,83.8,130.7,360.0,41.0,,135.7,156.7,105.0,,,165.0,,-27.0,-62.2,-36.5,,-45.0,-6.0,,,,,129.0,,-101.2,-54.3,175.0,-144.0,,-49.3,-28.3,-80.0,,,-20.0,,False,False,,False,True,,,,,False,,False,False,False,False,,False,False,False,,,True,
27147,44,38.0,,35.4,,30.0,26.0,,,,,75.7,,18.0,36.8,55.0,0.0,,26.4,28.1,,,,40.0,,-6.0,,-8.6,,-14.0,-18.0,,,,,31.7,,-26.0,-7.2,11.0,-44.0,,-17.6,-15.9,,,,-4.0,,,False,,False,False,,,,,False,,False,False,False,False,,False,False,,,,True,
27149,7,6.0,,5.7,,0.0,0.0,,,,,5.3,,0.7,0.8,5.0,0.0,,0.7,,,,,11.0,,-1.0,,-1.3,,-7.0,-7.0,,,,,-1.7,,-6.3,-6.2,-2.0,-7.0,,-6.3,,,,,4.0,,,False,,False,False,,,,,False,,False,False,False,False,,False,,,,,False,
27151,6,2.0,,2.7,,2.0,0.0,,,,,7.0,,3.3,2.2,,2.0,,0.5,5.1,,,,0.0,,-4.0,,-3.3,,-4.0,-6.0,,,,,1.0,,-2.7,-3.8,,-4.0,,-5.5,-0.9,,,,-6.0,,,True,,False,False,,,,,True,,True,True,,False,,False,True,,,,False,
27153,17,22.0,,21.8,,10.0,0.0,,,,,11.0,,3.7,18.4,49.0,0.0,,2.2,18.0,,,,21.0,,5.0,,4.8,,-7.0,-17.0,,,,,-6.0,,-13.3,1.4,32.0,-17.0,,-14.8,1.0,,,,4.0,,,True,,False,False,,,,,False,,False,True,False,False,,False,True,,,,True,
27155,11,0.0,,0.7,,0.0,0.0,,,,,0.7,,1.2,1.3,1.0,1.0,,0.0,0.9,,,,0.0,,-11.0,,-10.3,,-11.0,-11.0,,,,,-10.3,,-9.8,-9.7,-10.0,-10.0,,-11.0,-10.1,,,,-11.0,,,True,,False,False,,,,,True,,True,True,True,True,,False,True,,,,False,
27157,17,26.0,,25.4,,24.0,34.0,,,,,54.0,,8.3,22.3,21.0,24.0,,17.1,49.4,,,,22.0,,9.0,,8.4,,7.0,17.0,,,,,37.0,,-8.7,5.3,4.0,7.0,,0.1,32.4,,,,5.0,,,True,,True,False,,,,,False,,True,True,True,True,,True,False,,,,True,
27159,12,6.0,,6.0,,4.0,0.0,,,,,15.5,,2.0,3.6,,7.0,,3.6,4.5,,,,5.0,,-6.0,,-6.0,,-8.0,-12.0,,,,,3.5,,-10.0,-8.4,,-5.0,,-8.4,-7.5,,,,-7.0,,,False,,False,False,,,,,True,,False,False,,True,,False,False,,,,False,
27161,59,42.0,,42.0,,36.0,43.0,,,,,56.3,,32.1,33.4,38.0,0.0,,10.9,37.7,,,,36.0,,-17.0,,-17.0,,-23.0,-16.0,,,,,-2.7,,-26.9,-25.6,-21.0,-59.0,,-48.1,-21.3,,,,-23.0,,,True,,False,True,,,,,True,,False,False,False,False,,False,False,,,,False,
27163,491,450.0,574.0,449.0,,456.0,451.0,,,,,586.9,,508.9,482.9,438.0,250.0,,426.3,459.7,535.0,,,439.0,,-41.0,83.0,-42.0,,-35.0,-40.0,,,,,95.9,,17.9,-8.1,-53.0,-241.0,,-64.7,-31.3,44.0,,,-52.0,,False,False,,True,True,,,,,False,,True,True,False,False,,False,True,False,,,False,
