,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01091,196,52.0,54.1,,42.0,2.0,,,,,,65.0,,157.4,42.6,,21.1,59.0,0.2,,31.4,,,,,,,21.6,177.1,-144.0,-141.9,,-154.0,-194.0,,,,,,-131.0,,-38.6,-153.4,,-174.9,-137.0,-195.8,,-164.6,,,,,,,-174.4,-18.9,True,,False,False,,,,,,True,,True,False,,False,True,False,,False,,,,,,,False,True
01093,149,196.0,179.6,,100.0,44.0,,,,,,85.0,,273.4,118.8,,105.2,146.7,52.8,,30.5,,,,,,,116.0,374.3,47.0,30.6,,-49.0,-105.0,,,,,,-64.0,,124.4,-30.2,,-43.8,-2.3,-96.2,,-118.5,,,,,,,-33.0,225.3,True,,False,False,,,,,,False,,False,True,,True,True,False,,False,,,,,,,True,False
01095,456,176.0,209.4,,160.0,16.0,,,,,,411.0,,287.1,190.6,,67.1,159.5,14.3,,31.4,,254.4,,,,,174.7,1983.3,-280.0,-246.6,,-296.0,-440.0,,,,,,-45.0,,-168.9,-265.4,,-388.9,-296.5,-441.7,,-424.6,,-201.6,,,,,-281.3,1527.3,True,,False,False,,,,,,True,,True,True,,False,False,False,,False,,True,,,,,False,False
01097,1194,916.0,880.9,980.5,925.0,1814.0,,,,,,1250.0,,1180.9,1102.0,,895.1,883.4,602.2,,88.1,,1784.5,636.0,,,,658.5,2739.1,-278.0,-313.1,-213.5,-269.0,620.0,,,,,,56.0,,-13.1,-92.0,,-298.9,-310.6,-591.8,,-1105.9,,590.5,-558.0,,,,-535.5,1545.1,False,True,True,False,,,,,,True,,True,True,,False,False,False,,False,,False,False,,,,False,False
01099,40,32.0,43.2,,21.0,0.0,,,,,,59.0,,107.6,38.6,,2.8,18.4,12.5,,2.9,,,,,,,12.0,351.3,-8.0,3.2,,-19.0,-40.0,,,,,,19.0,,67.6,-1.4,,-37.2,-21.6,-27.5,,-37.1,,,,,,,-28.0,311.3,True,,False,False,,,,,,False,,False,True,,False,False,False,,False,,,,,,,False,False
01101,886,820.0,817.0,777.5,706.0,346.0,,,,,,705.0,,819.4,429.6,,553.8,835.5,71.6,,241.6,,467.3,716.0,,,,679.3,2232.3,-66.0,-69.0,-108.5,-180.0,-540.0,,,,,,-181.0,,-66.6,-456.4,,-332.2,-50.5,-814.4,,-644.4,,-418.7,-170.0,,,,-206.7,1346.3,False,False,False,False,,,,,,False,,False,False,,False,True,False,,False,,False,False,,,,False,False
01103,593,292.0,261.4,,236.0,199.0,,,,,,394.0,,443.9,272.1,,157.5,275.7,144.6,,169.5,,246.3,,,,,198.6,1883.2,-301.0,-331.6,,-357.0,-394.0,,,,,,-199.0,,-149.1,-320.9,,-435.5,-317.3,-448.4,,-423.5,,-346.7,,,,,-394.4,1290.2,False,,False,False,,,,,,True,,True,False,,False,False,False,,False,,False,,,,,False,False
01105,40,20.0,19.5,,11.0,0.0,,,,,,20.0,,26.5,18.7,,3.4,16.4,0.0,,3.9,,,,,,,18.5,110.2,-20.0,-20.5,,-29.0,-40.0,,,,,,-20.0,,-13.5,-21.3,,-36.6,-23.6,-40.0,,-36.1,,,,,,,-21.5,70.2,False,,False,False,,,,,,False,,True,False,,False,False,False,,False,,,,,,,False,False
01107,113,80.0,85.9,,56.0,64.0,,,,,,58.0,,164.9,63.6,,42.6,59.4,1.0,,27.9,,,,,,,32.7,310.6,-33.0,-27.1,,-57.0,-49.0,,,,,,-55.0,,51.9,-49.4,,-70.4,-53.6,-112.0,,-85.1,,,,,,,-80.3,197.6,True,,False,False,,,,,,False,,False,False,,False,False,False,,False,,,,,,,False,False
01109,157,132.0,96.5,,106.0,134.0,,,,,,270.0,,228.5,93.2,,38.6,119.8,0.1,,60.4,,,,,,,72.8,1140.3,-25.0,-60.5,,-51.0,-23.0,,,,,,113.0,,71.5,-63.8,,-118.4,-37.2,-156.9,,-96.6,,,,,,,-84.2,983.3,False,,False,True,,,,,,False,,False,False,,False,False,False,,False,,,,,,,False,False
01111,174,44.0,29.9,,41.0,6.0,,,,,,81.0,,167.4,75.7,,11.6,48.6,29.8,,31.9,,,,,,,41.0,179.3,-130.0,-144.1,,-133.0,-168.0,,,,,,-93.0,,-6.6,-98.3,,-162.4,-125.4,-144.2,,-142.1,,,,,,,-133.0,5.3,False,,False,False,,,,,,True,,True,True,,False,True,False,,False,,,,,,,False,True
01113,190,60.0,54.8,,60.0,38.0,,,,,,208.0,,208.0,95.6,,14.7,55.5,33.3,,33.2,,102.3,,,,,64.1,425.1,-130.0,-135.2,,-130.0,-152.0,,,,,,18.0,,18.0,-94.4,,-175.3,-134.5,-156.7,,-156.8,,-87.7,,,,,-125.9,235.1,False,,False,False,,,,,,True,,True,True,,False,False,False,,False,,True,,,,,True,False
01115,487,384.0,388.8,,317.0,197.0,,,,,,202.0,,517.6,335.9,,386.8,435.4,137.5,,39.8,,316.2,,,,,211.9,4869.4,-103.0,-98.2,,-170.0,-290.0,,,,,,-285.0,,30.6,-151.1,,-100.2,-51.6,-349.5,,-447.2,,-170.8,,,,,-275.1,4382.4,True,,False,False,,,,,,False,,True,False,,True,True,False,,False,,False,,,,,False,False
01117,1415,1256.0,1228.1,,923.0,543.0,,,,,,478.0,,1256.7,736.8,,1148.5,1134.8,362.1,,184.1,,609.1,1440.0,,,,843.2,6754.0,-159.0,-186.9,,-492.0,-872.0,,,,,,-937.0,,-158.3,-678.2,,-266.5,-280.2,-1052.9,,-1230.9,,-805.9,25.0,,,,-571.8,5339.0,False,,False,False,,,,,,False,,True,False,,False,False,False,,False,,False,True,,,,False,False
01119,41,4.0,2.2,,4.0,0.0,,,,,,36.0,,23.2,12.6,,1.1,9.8,0.1,,4.5,,,,,,,14.8,26.3,-37.0,-38.8,,-37.0,-41.0,,,,,,-5.0,,-17.8,-28.4,,-39.9,-31.2,-40.9,,-36.5,,,,,,,-26.2,-14.7,False,,False,False,,,,,,True,,True,True,,False,True,False,,True,,,,,,,True,True
