,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
37087,33,126.0,47.1,126.7,,126.0,162.0,,,,,,138.8,,69.6,87.4,,,136.0,142.6,,,,147.0,,119.2,93.0,14.1,93.7,,93.0,129.0,,,,,,105.8,,36.6,54.4,,,103.0,109.6,,,,114.0,,86.2,True,False,,False,False,,,,,,False,,True,True,,,False,False,,,,False,,True
37089,93,114.0,207.8,120.0,,114.0,99.0,,,,,,163.7,,58.3,80.7,98.0,,72.2,116.2,,,,88.0,,146.1,21.0,114.8,27.0,,21.0,6.0,,,,,,70.7,,-34.7,-12.3,5.0,,-20.8,23.2,,,,-5.0,,53.1,False,False,,False,True,,,,,,False,,False,True,True,,True,False,,,,True,,False
37091,56,57.0,,57.7,,55.0,78.0,,,,,,25.9,,35.4,53.1,,,35.5,58.6,,,,57.0,,34.5,1.0,,1.7,,-1.0,22.0,,,,,,-30.1,,-20.6,-2.9,,,-20.5,2.6,,,,1.0,,-21.5,,False,,False,False,,,,,,False,,False,False,,,False,False,,,,False,,False
37093,65,47.0,86.7,45.2,,44.0,34.0,,,,,,48.0,,26.0,40.1,50.0,,43.6,47.6,,,,41.0,,72.4,-18.0,21.7,-19.8,,-21.0,-31.0,,,,,,-17.0,,-39.0,-24.9,-15.0,,-21.4,-17.4,,,,-24.0,,7.4,False,False,,False,False,,,,,,True,,False,False,True,,False,True,,,,False,,True
37095,14,5.0,,3.8,,3.0,0.0,,,,,,3.8,,2.9,4.0,,,0.6,5.8,,,,5.0,,12.8,-9.0,,-10.2,,-11.0,-14.0,,,,,,-10.2,,-11.1,-10.0,,,-13.4,-8.2,,,,-9.0,,-1.2,,False,,False,False,,,,,,False,,False,False,,,False,True,,,,False,,True
37097,197,135.0,273.6,135.3,,119.0,114.0,,,,,,241.3,,40.4,94.4,78.0,,75.5,124.2,75.0,,,125.0,,232.4,-62.0,76.6,-61.7,,-78.0,-83.0,,,,,,44.3,,-156.6,-102.6,-119.0,,-121.5,-72.8,-122.0,,,-72.0,,35.4,False,True,,False,False,,,,,,True,,False,False,False,,False,False,False,,,False,,True
37099,13,49.0,,44.2,,38.0,29.0,,,,,,96.9,,20.4,32.7,39.0,,27.9,51.2,,,,38.0,,85.1,36.0,,31.2,,25.0,16.0,,,,,,83.9,,7.4,19.7,26.0,,14.9,38.2,,,,25.0,,72.1,,True,,True,True,,,,,,False,,True,True,True,,True,False,,,,True,,False
37101,161,275.0,266.7,277.9,,249.0,234.0,,,,,,291.1,,191.3,241.8,254.0,,290.3,256.4,230.0,,,283.0,,420.1,114.0,105.7,116.9,,88.0,73.0,,,,,,130.1,,30.3,80.8,93.0,,129.3,95.4,69.0,,,122.0,,259.1,True,False,,True,True,,,,,,False,,True,True,True,,False,True,True,,,False,,False
37103,26,24.0,,25.2,,23.0,31.0,,,,,,12.3,,13.3,24.8,17.0,,2.5,21.1,,,,23.0,,16.3,-2.0,,-0.8,,-3.0,5.0,,,,,,-13.7,,-12.7,-1.2,-9.0,,-23.6,-4.9,,,,-3.0,,-9.7,,True,,False,False,,,,,,False,,False,True,False,,False,False,,,,False,,False
37105,47,103.0,83.9,103.5,,83.0,118.0,,,,,,51.0,,54.0,81.9,87.0,,83.1,106.3,,,,121.0,,104.5,56.0,36.9,56.5,,36.0,71.0,,,,,,4.0,,7.0,34.9,40.0,,36.1,59.3,,,,74.0,,57.5,True,False,,True,False,,,,,,True,,True,True,True,,True,False,,,,False,,False
37107,75,37.0,64.0,38.4,,37.0,40.0,,,,,,42.9,,25.4,39.0,43.0,,34.1,34.5,,,,43.0,,79.0,-38.0,-11.0,-36.6,,-38.0,-35.0,,,,,,-32.1,,-49.6,-36.0,-32.0,,-40.9,-40.5,,,,-32.0,,4.0,True,True,,False,True,,,,,,True,,False,True,True,,False,False,,,,True,,True
37109,92,111.0,212.8,106.3,,111.0,114.0,,,,,,185.1,,63.9,80.5,102.0,,108.2,127.5,,,,98.0,,185.8,19.0,120.8,14.3,,19.0,22.0,,,,,,93.1,,-28.1,-11.5,10.0,,16.2,35.5,,,,6.0,,93.8,False,True,,False,False,,,,,,False,,False,True,True,,True,False,,,,True,,False
37111,56,80.0,,88.1,,84.0,98.0,,,,,,116.2,,53.9,71.5,78.0,,113.6,89.5,,,,99.0,,113.6,24.0,,32.1,,28.0,42.0,,,,,,60.2,,-2.1,15.5,22.0,,57.6,33.5,,,,43.0,,57.6,,False,,False,False,,,,,,False,,True,True,True,,False,False,,,,False,,False
37113,15,15.0,,12.3,,14.0,10.0,,,,,,41.4,,3.1,11.5,,,24.4,17.0,,,,8.0,,39.2,0.0,,-2.7,,-1.0,-5.0,,,,,,26.4,,-11.9,-3.5,,,9.4,2.0,,,,-7.0,,24.2,,False,,False,False,,,,,,False,,False,False,,,False,False,,,,False,,False
37115,6,7.0,,7.0,,7.0,,,,,,,17.3,,1.0,5.0,,,2.8,9.1,,,,7.0,,11.0,1.0,,1.0,,1.0,,,,,,,11.3,,-5.0,-1.0,,,-3.2,3.1,,,,1.0,,5.0,,False,,False,,,,,,,False,,False,False,,,False,False,,,,False,,False
37117,30,19.0,,17.3,,18.0,28.0,,,,,,30.6,,4.6,13.2,18.0,,19.9,20.5,,,,19.0,,30.1,-11.0,,-12.7,,-12.0,-2.0,,,,,,0.6,,-25.4,-16.8,-12.0,,-10.1,-9.5,,,,-11.0,,0.1,,False,,False,True,,,,,,True,,False,False,False,,True,True,,,,False,,True
37119,1013,1387.0,2639.8,1376.8,1343.7,1248.0,1248.0,,,,,,1335.2,,1236.6,1178.3,1468.0,,1160.2,1356.3,1058.0,,,1187.0,,1276.4,374.0,1626.8,363.8,330.7,235.0,235.0,,,,,,322.2,,223.6,165.3,455.0,,147.2,343.3,45.0,,,174.0,,263.4,False,True,True,True,True,,,,,,True,,True,True,False,,True,True,True,,,True,,True
37121,6,8.0,,7.0,,7.0,7.0,,,,,,14.0,,0.4,3.7,,,6.7,9.6,,,,4.0,,7.2,2.0,,1.0,,1.0,1.0,,,,,,8.0,,-5.6,-2.3,,,0.7,3.6,,,,-2.0,,1.2,,True,,True,True,,,,,,False,,False,False,,,True,False,,,,False,,True
37123,60,59.0,,57.1,,48.0,62.0,,,,,,52.9,,19.2,17.7,,,28.2,59.6,,,,54.0,,74.9,-1.0,,-2.9,,-12.0,2.0,,,,,,-7.1,,-40.8,-42.3,,,-31.8,-0.4,,,,-6.0,,14.9,,False,,False,False,,,,,,False,,False,False,,,False,True,,,,False,,False
37125,86,117.0,161.1,118.4,,116.0,128.0,,,,,,154.0,,69.0,91.4,107.0,,64.1,120.0,,,,114.0,,144.3,31.0,75.1,32.4,,30.0,42.0,,,,,,68.0,,-17.0,5.4,21.0,,-21.9,34.0,,,,28.0,,58.3,False,False,,True,False,,,,,,False,,True,True,True,,True,False,,,,True,,False
37127,153,144.0,183.0,139.4,,142.0,153.0,,,,,,168.2,,120.6,144.8,127.0,,141.9,141.2,,,,146.0,,207.9,-9.0,30.0,-13.6,,-11.0,0.0,,,,,,15.2,,-32.4,-8.2,-26.0,,-11.1,-11.8,,,,-7.0,,54.9,False,False,,False,True,,,,,,False,,False,True,False,,False,False,,,,True,,False
37129,188,244.0,639.7,248.6,,241.0,251.0,,,,,,476.0,,87.5,130.4,148.0,,203.4,238.7,106.0,,,197.0,,257.7,56.0,451.7,60.6,,53.0,63.0,,,,,,288.0,,-100.5,-57.6,-40.0,,15.4,50.7,-82.0,,,9.0,,69.7,False,False,,True,False,,,,,,False,,False,False,True,,True,True,False,,,True,,False
37131,14,42.0,,44.5,,32.0,39.0,,,,,,26.0,,5.7,23.8,25.0,,24.5,49.5,,,,30.0,,95.7,28.0,,30.5,,18.0,25.0,,,,,,12.0,,-8.3,9.8,11.0,,10.5,35.5,,,,16.0,,81.7,,False,,True,True,,,,,,True,,True,True,True,,True,False,,,,True,,False
37133,136,130.0,210.8,129.3,,129.0,103.0,,,,,,348.6,,102.9,129.4,138.0,,122.6,162.5,107.0,,,137.0,,163.6,-6.0,74.8,-6.7,,-7.0,-33.0,,,,,,212.6,,-33.1,-6.6,2.0,,-13.4,26.5,-29.0,,,1.0,,27.6,False,False,,False,False,,,,,,False,,False,False,True,,False,False,False,,,True,,False
37135,144,63.0,170.8,64.3,,62.0,49.0,,,,,,141.2,,48.4,58.0,73.0,,75.1,61.3,53.0,,,57.0,,115.7,-81.0,26.8,-79.7,,-82.0,-95.0,,,,,,-2.8,,-95.6,-86.0,-71.0,,-68.9,-82.7,-91.0,,,-87.0,,-28.3,True,True,,False,False,,,,,,True,,False,False,True,,True,False,False,,,False,,True
37137,12,10.0,,9.6,,7.0,7.0,,,,,,15.8,,2.6,4.4,,,7.7,9.4,,,,10.0,,11.4,-2.0,,-2.4,,-5.0,-5.0,,,,,,3.8,,-9.4,-7.6,,,-4.3,-2.6,,,,-2.0,,-0.6,,False,,False,False,,,,,,False,,False,False,,,False,False,,,,False,,True
37139,43,44.0,,45.2,,42.0,56.0,,,,,,60.6,,33.3,40.2,45.0,,154.8,40.6,,,,49.0,,49.2,1.0,,2.2,,-1.0,13.0,,,,,,17.6,,-9.7,-2.8,2.0,,111.8,-2.4,,,,6.0,,6.2,,False,,False,False,,,,,,False,,False,False,False,,False,False,,,,False,,False
37141,30,42.0,77.8,40.5,,39.0,27.0,,,,,,98.3,,16.6,35.8,40.0,,38.9,38.7,,,,35.0,,70.2,12.0,47.8,10.5,,9.0,-3.0,,,,,,68.3,,-13.4,5.8,10.0,,8.9,8.7,,,,5.0,,40.2,False,True,,True,True,,,,,,False,,False,True,True,,True,True,,,,True,,False
37143,7,20.0,,19.3,,16.0,11.0,,,,,,18.1,,3.0,13.4,16.0,,21.6,18.1,,,,22.0,,19.9,13.0,,12.3,,9.0,4.0,,,,,,11.1,,-4.0,6.4,9.0,,14.6,11.1,,,,15.0,,12.9,,True,,True,True,,,,,,True,,True,True,True,,False,True,,,,False,,True
37145,27,17.0,,15.9,,18.0,18.0,,,,,,40.7,,23.7,34.4,,,11.6,18.9,,,,13.0,,24.0,-10.0,,-11.1,,-9.0,-9.0,,,,,,13.7,,-3.3,7.4,,,-15.4,-8.1,,,,-14.0,,-3.0,,False,,True,True,,,,,,False,,True,True,,,False,True,,,,False,,True
37147,282,223.0,371.7,210.4,,217.0,180.0,,,,,,295.3,,269.5,259.9,240.0,,198.3,177.7,252.0,,,222.0,,345.8,-59.0,89.7,-71.6,,-65.0,-102.0,,,,,,13.3,,-12.5,-22.1,-42.0,,-83.7,-104.3,-30.0,,,-60.0,,63.8,False,False,,False,False,,,,,,True,,True,True,True,,False,False,True,,,False,,False
37149,27,25.0,,23.8,,20.0,22.0,,,,,,26.1,,9.6,18.6,24.0,,11.2,25.4,,,,32.0,,30.1,-2.0,,-3.2,,-7.0,-5.0,,,,,,-0.9,,-17.4,-8.4,-3.0,,-15.8,-1.6,,,,5.0,,3.1,,False,,False,False,,,,,,True,,False,False,False,,False,True,,,,False,,False
37151,100,121.0,240.7,110.4,,105.0,99.0,,,,,,130.7,,76.8,87.1,130.0,,112.9,118.7,88.0,,,113.0,,236.0,21.0,140.7,10.4,,5.0,-1.0,,,,,,30.7,,-23.2,-12.9,30.0,,12.9,18.7,-12.0,,,13.0,,136.0,False,True,,True,True,,,,,,False,,False,True,False,,True,True,True,,,True,,False
37153,53,27.0,,26.7,,26.0,21.0,,,,,,47.2,,9.5,18.7,25.0,,29.4,25.2,,,,20.0,,50.0,-26.0,,-26.3,,-27.0,-32.0,,,,,,-5.8,,-43.5,-34.3,-28.0,,-23.6,-27.8,,,,-33.0,,-3.0,,False,,False,False,,,,,,True,,False,False,False,,True,False,,,,False,,True
37155,251,178.0,296.6,191.3,,155.0,130.0,,,,,,172.6,,125.2,158.5,180.0,,84.3,156.3,154.0,,,152.0,,227.0,-73.0,45.6,-59.7,,-96.0,-121.0,,,,,,-78.4,,-125.8,-92.5,-71.0,,-166.7,-94.7,-97.0,,,-99.0,,-24.0,True,True,,False,False,,,,,,False,,False,False,True,,False,False,False,,,False,,True
37157,53,82.0,106.3,86.1,,82.0,87.0,,,,,,140.1,,39.7,54.4,59.0,,428.4,81.9,,,,80.0,,115.8,29.0,53.3,33.1,,29.0,34.0,,,,,,87.1,,-13.3,1.4,6.0,,375.4,28.9,,,,27.0,,62.8,False,False,,False,False,,,,,,False,,True,True,True,,False,True,,,,True,,False
37159,155,187.0,234.8,191.4,,189.0,204.0,,,,,,188.8,,152.2,165.8,185.0,,214.7,196.1,148.0,,,183.0,,293.3,32.0,79.8,36.4,,34.0,49.0,,,,,,33.8,,-2.8,10.8,30.0,,59.7,41.1,-7.0,,,28.0,,138.3,False,False,,False,False,,,,,,False,,True,True,True,,False,False,True,,,True,,False
37161,100,74.0,93.8,73.4,,74.0,66.0,,,,,,141.2,,68.9,100.3,67.0,,55.5,87.4,,,,65.0,,78.3,-26.0,-6.2,-26.6,,-26.0,-34.0,,,,,,41.2,,-31.1,0.3,-33.0,,-44.5,-12.6,,,,-35.0,,-21.7,True,False,,False,False,,,,,,False,,False,True,False,,False,True,,,,False,,True
37163,87,83.0,88.9,88.8,,70.0,40.0,,,,,,48.0,,64.7,69.6,98.0,,30.0,79.0,,,,74.0,,173.5,-4.0,1.9,1.8,,-17.0,-47.0,,,,,,-39.0,,-22.3,-17.4,11.0,,-57.0,-8.0,,,,-13.0,,86.5,True,True,,False,False,,,,,,False,,False,False,False,,False,False,,,,False,,False
37165,79,66.0,,66.6,,58.0,86.0,,,,,,54.6,,36.4,49.4,,,24.0,68.2,,,,71.0,,67.7,-13.0,,-12.4,,-21.0,7.0,,,,,,-24.4,,-42.6,-29.6,,,-55.0,-10.8,,,,-8.0,,-11.3,,True,,False,True,,,,,,False,,False,False,,,False,True,,,,True,,True
37167,146,165.0,167.1,161.9,,154.0,189.0,,,,,,178.9,,137.8,120.9,159.0,,133.0,154.5,,,,151.0,,239.8,19.0,21.1,15.9,,8.0,43.0,,,,,,32.9,,-8.2,-25.1,13.0,,-13.0,8.5,,,,5.0,,93.8,False,True,,True,False,,,,,,False,,True,False,True,,True,True,,,,True,,False
37169,14,35.0,,39.1,,34.0,44.0,,,,,,68.9,,14.7,21.6,27.0,,67.5,32.6,,,,40.0,,34.2,21.0,,25.1,,20.0,30.0,,,,,,54.9,,0.7,7.6,13.0,,53.5,18.6,,,,26.0,,20.2,,False,,True,False,,,,,,False,,True,True,True,,False,True,,,,False,,True
37171,81,68.0,96.5,67.6,,71.0,55.0,,,,,,126.8,,78.9,92.7,91.0,,73.8,63.6,,,,69.0,,159.5,-13.0,15.5,-13.4,,-10.0,-26.0,,,,,,45.8,,-2.1,11.7,10.0,,-7.2,-17.4,,,,-12.0,,78.5,False,False,,True,False,,,,,,False,,True,True,True,,True,False,,,,True,,False
37173,6,16.0,,15.8,,13.0,11.0,,,,,,23.3,,5.8,8.9,,,2.1,15.6,,,,16.0,,40.4,10.0,,9.8,,7.0,5.0,,,,,,17.3,,-0.2,2.9,,,-3.9,9.6,,,,10.0,,34.4,,True,,True,True,,,,,,False,,True,True,,,True,True,,,,False,,False
37175,28,13.0,,13.5,,8.0,8.0,,,,,,23.4,,2.9,8.8,8.0,,2.2,13.1,,,,12.0,,21.6,-15.0,,-14.5,,-20.0,-20.0,,,,,,-4.6,,-25.1,-19.2,-20.0,,-25.8,-14.9,,,,-16.0,,-6.4,,True,,False,False,,,,,,True,,False,False,False,,False,True,,,,False,,True
37177,6,7.0,,8.2,,3.0,0.0,,,,,,7.2,,2.6,2.4,6.0,,3.0,7.1,,,,3.0,,11.9,1.0,,2.2,,-3.0,-6.0,,,,,,1.2,,-3.4,-3.6,0.0,,-3.0,1.1,,,,-3.0,,5.9,,False,,False,False,,,,,,False,,False,False,True,,False,False,,,,False,,False
37179,297,310.0,478.4,305.1,,300.0,324.0,,,,,,397.0,,219.5,250.1,297.0,,255.6,300.4,226.0,,,293.0,,436.7,13.0,181.4,8.1,,3.0,27.0,,,,,,100.0,,-77.5,-46.9,0.0,,-41.4,3.4,-71.0,,,-4.0,,139.7,False,True,,True,False,,,,,,False,,False,False,True,,False,True,False,,,True,,False
37181,40,38.0,,35.6,,36.0,30.0,,,,,,35.8,,26.1,42.2,45.0,,40.5,36.5,,,,35.0,,32.2,-2.0,,-4.4,,-4.0,-10.0,,,,,,-4.2,,-13.9,2.2,5.0,,0.5,-3.5,,,,-5.0,,-7.8,,False,,False,False,,,,,,False,,False,False,False,,True,False,,,,False,,False
37183,683,937.0,2029.0,932.2,922.8,937.0,968.0,,,,,,1417.8,,844.5,800.4,859.0,,938.8,845.1,998.0,,,848.0,,1228.3,254.0,1346.0,249.2,239.8,254.0,285.0,,,,,,734.8,,161.5,117.4,176.0,,255.8,162.1,315.0,,,165.0,,545.3,False,True,True,False,False,,,,,,False,,True,True,True,,False,True,False,,,True,,False
37185,14,17.0,,16.9,,16.0,19.0,,,,,,27.0,,3.8,9.9,18.0,,16.1,18.5,,,,16.0,,12.2,3.0,,2.9,,2.0,5.0,,,,,,13.0,,-10.2,-4.1,4.0,,2.1,4.5,,,,2.0,,-1.8,,True,,True,False,,,,,,False,,False,False,False,,True,False,,,,True,,True
37187,13,14.0,,13.7,,11.0,11.0,,,,,,20.2,,4.5,9.7,13.0,,11.3,19.8,,,,12.0,,21.1,1.0,,0.7,,-2.0,-2.0,,,,,,7.2,,-8.5,-3.3,0.0,,-1.7,6.8,,,,-1.0,,8.1,,True,,False,False,,,,,,False,,False,False,True,,False,False,,,,False,,False
37189,64,36.0,53.7,36.7,,30.0,30.0,,,,,,69.1,,6.6,22.6,,,2.8,41.8,,,,25.0,,57.0,-28.0,-10.3,-27.3,,-34.0,-34.0,,,,,,5.1,,-57.4,-41.4,,,-61.2,-22.2,,,,-39.0,,-7.0,True,True,,False,False,,,,,,True,,False,False,,,False,True,,,,False,,True
37191,123,102.0,155.0,100.5,,101.0,98.0,,,,,,99.9,,66.6,80.7,120.0,,118.5,107.4,,,,84.0,,196.4,-21.0,32.0,-22.5,,-22.0,-25.0,,,,,,-23.1,,-56.4,-42.3,-3.0,,-4.5,-15.6,,,,-39.0,,73.4,False,False,,False,False,,,,,,False,,False,False,True,,True,True,,,,False,,False
37193,62,63.0,34.3,62.3,,62.0,62.0,,,,,,82.8,,133.8,127.7,,,222.6,60.5,,,,66.0,,156.6,1.0,-27.7,0.3,,0.0,0.0,,,,,,20.8,,71.8,65.7,,,160.6,-1.5,,,,4.0,,94.6,False,True,,True,True,,,,,,False,,False,False,,,False,False,,,,False,,False
37195,75,94.0,165.2,96.9,,80.0,74.0,,,,,,114.7,,44.1,69.0,77.0,,61.6,119.0,,,,73.0,,161.8,19.0,90.2,21.9,,5.0,-1.0,,,,,,39.7,,-30.9,-6.0,2.0,,-13.4,44.0,,,,-2.0,,86.8,False,False,,True,True,,,,,,False,,False,True,True,,True,False,,,,True,,False
37197,30,46.0,,46.7,,45.0,55.0,,,,,,46.7,,24.1,44.5,39.0,,38.3,45.1,,,,46.0,,72.9,16.0,,16.7,,15.0,25.0,,,,,,16.7,,-5.9,14.5,9.0,,8.3,15.1,,,,16.0,,42.9,,False,,True,False,,,,,,False,,True,True,True,,True,True,,,,False,,False
37199,15,7.0,,6.8,,3.0,3.0,,,,,,7.6,,0.2,1.7,,,3.7,9.0,,,,3.0,,4.9,-8.0,,-8.2,,-12.0,-12.0,,,,,,-7.4,,-14.8,-13.3,,,-11.3,-6.0,,,,-12.0,,-10.1,,False,,False,False,,,,,,True,,False,False,,,False,True,,,,False,,False
38001,1,0.0,,0.0,,0.0,0.0,,,,,,2.1,,,0.0,0.0,,0.9,,,,,0.0,,2.8,-1.0,,-1.0,,-1.0,-1.0,,,,,,1.1,,,-1.0,-1.0,,-0.1,,,,,-1.0,,1.8,,False,,False,False,,,,,,False,,,True,False,,True,,,,,False,,False
38003,7,5.0,,4.9,,2.0,0.0,,,,,,6.1,,2.4,1.1,6.0,,1.5,5.3,,,,5.0,,6.0,-2.0,,-2.1,,-5.0,-7.0,,,,,,-0.9,,-4.6,-5.9,-1.0,,-5.5,-1.7,,,,-2.0,,-1.0,,False,,False,False,,,,,,True,,False,False,True,,False,True,,,,False,,True
38005,31,41.0,,38.6,,23.0,27.0,,,,,,28.0,,4.2,20.3,51.0,,9.6,,,,,41.0,,23.2,10.0,,7.6,,-8.0,-4.0,,,,,,-3.0,,-26.8,-10.7,20.0,,-21.4,,,,,10.0,,-7.8,,True,,True,True,,,,,,True,,False,False,False,,False,,,,,False,,True
38007,1,0.0,,0.0,,0.0,0.0,,,,,,0.8,,,0.0,0.0,,0.0,,,,,1.0,,2.9,-1.0,,-1.0,,-1.0,-1.0,,,,,,-0.2,,,-1.0,-1.0,,-1.0,,,,,0.0,,1.9,,False,,False,False,,,,,,True,,,True,False,,False,,,,,True,,False
38009,4,1.0,,0.1,,0.0,0.0,,,,,,1.5,,1.8,1.6,,,0.4,,,,,7.0,,3.9,-3.0,,-3.9,,-4.0,-4.0,,,,,,-2.5,,-2.2,-2.4,,,-3.6,,,,,3.0,,-0.1,,False,,False,False,,,,,,True,,True,True,,,False,,,,,False,,True
38011,5,0.0,,0.0,,0.0,0.0,,,,,,2.3,,0.1,0.0,0.0,,0.2,0.1,,,,0.0,,2.5,-5.0,,-5.0,,-5.0,-5.0,,,,,,-2.7,,-4.9,-5.0,-5.0,,-4.8,-4.9,,,,-5.0,,-2.5,,False,,False,False,,,,,,True,,True,True,False,,True,True,,,,False,,True
38013,0,4.0,,3.8,,1.0,0.0,,,,,,2.1,,1.0,0.8,0.0,,1.0,,,,,6.0,,6.4,4.0,,3.8,,1.0,0.0,,,,,,2.1,,1.0,0.8,0.0,,1.0,,,,,6.0,,6.4,,True,,True,True,,,,,,True,,True,True,True,,True,,,,,False,,False
38015,202,198.0,193.1,199.1,,193.0,183.0,,,,,,248.0,,215.3,188.9,211.0,,207.6,164.1,,,,197.0,,284.2,-4.0,-8.9,-2.9,,-9.0,-19.0,,,,,,46.0,,13.3,-13.1,9.0,,5.6,-37.9,,,,-5.0,,82.2,False,True,,False,False,,,,,,False,,False,False,False,,False,False,,,,False,,False
38017,89,111.0,28.4,111.6,,100.0,85.0,,,,,,94.7,,93.9,106.4,,,122.6,106.9,92.0,,,104.0,,190.7,22.0,-60.6,22.6,,11.0,-4.0,,,,,,5.7,,4.9,17.4,,,33.6,17.9,3.0,,,15.0,,101.7,False,False,,True,True,,,,,,True,,True,True,,,False,True,True,,,True,,False
38019,0,0.0,,0.0,,0.0,0.0,,,,,,2.0,,,0.1,0.0,,2.0,,,,,1.0,,4.2,0.0,,0.0,,0.0,0.0,,,,,,2.0,,,0.1,0.0,,2.0,,,,,1.0,,4.2,,True,,True,True,,,,,,False,,,False,True,,False,,,,,False,,False
38021,2,1.0,,0.4,,1.0,0.0,,,,,,1.2,,1.5,1.2,,,0.7,,,,,1.0,,4.4,-1.0,,-1.6,,-1.0,-2.0,,,,,,-0.8,,-0.5,-0.8,,,-1.3,,,,,-1.0,,2.4,,False,,False,False,,,,,,True,,True,True,,,False,,,,,False,,False
38023,2,1.0,,1.0,,0.0,0.0,,,,,,1.3,,0.0,0.0,0.0,,0.6,,,,,2.0,,6.4,-1.0,,-1.0,,-2.0,-2.0,,,,,,-0.7,,-2.0,-2.0,-2.0,,-1.4,,,,,0.0,,4.4,,True,,False,False,,,,,,True,,False,False,False,,False,,,,,True,,False
38025,1,1.0,,1.2,,1.0,0.0,,,,,,1.7,,1.5,0.1,,,2.3,0.9,,,,2.0,,5.0,0.0,,0.2,,0.0,-1.0,,,,,,0.7,,0.5,-0.9,,,1.3,-0.1,,,,1.0,,4.0,,False,,True,False,,,,,,False,,False,False,,,False,False,,,,False,,False
38027,3,5.0,,4.9,,1.0,,,,,,,1.0,,0.7,1.9,6.0,,0.4,,,,,4.0,,9.3,2.0,,1.9,,-2.0,,,,,,,-2.0,,-2.3,-1.1,3.0,,-2.6,,,,,1.0,,6.3,,True,,False,,,,,,,True,,False,True,False,,False,,,,,True,,False
38029,6,2.0,,1.6,,0.0,0.0,,,,,,1.4,,0.6,0.1,,,0.3,,,,,1.0,,5.4,-4.0,,-4.4,,-6.0,-6.0,,,,,,-4.6,,-5.4,-5.9,,,-5.7,,,,,-5.0,,-0.6,,False,,False,False,,,,,,False,,False,False,,,False,,,,,False,,True
38031,3,8.0,,8.1,,7.0,7.0,,,,,,5.6,,1.2,5.2,6.0,,33.2,,,,,12.0,,9.9,5.0,,5.1,,4.0,4.0,,,,,,2.6,,-1.8,2.2,3.0,,30.2,,,,,9.0,,6.9,,False,,True,True,,,,,,True,,True,True,True,,False,,,,,False,,False
38033,7,0.0,,0.0,,0.0,0.0,,,,,,1.4,,,0.0,0.0,,0.0,,,,,0.0,,3.0,-7.0,,-7.0,,-7.0,-7.0,,,,,,-5.6,,,-7.0,-7.0,,-7.0,,,,,-7.0,,-4.0,,False,,False,False,,,,,,True,,,True,False,,True,,,,,False,,True
38035,103,48.0,34.2,46.8,,41.0,30.0,,,,,,105.5,,27.9,39.2,56.0,,41.0,47.6,,,,36.0,,76.4,-55.0,-68.8,-56.2,,-62.0,-73.0,,,,,,2.5,,-75.1,-63.8,-47.0,,-62.0,-55.4,,,,-67.0,,-26.6,False,False,,False,False,,,,,,True,,False,False,True,,False,False,,,,False,,True
38037,0,0.0,,0.0,,0.0,0.0,,,,,,0.3,,0.1,0.0,0.0,,0.0,,,,,0.0,,3.2,0.0,,0.0,,0.0,0.0,,,,,,0.3,,0.1,0.0,0.0,,0.0,,,,,0.0,,3.2,,True,,True,True,,,,,,False,,False,False,True,,True,,,,,True,,False
