,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
02185,25,0.0,,0.0,,,,,0.1,,,,,-25.0,,-25.0,,,,,-24.9,,,,,,False,,,,,True,,,,
02188,40,6.0,,0.0,,,,,0.3,,,,,-34.0,,-40.0,,,,,-39.7,,,,,,False,,,,,False,,,,
02195,4,6.0,,0.0,,,,,0.3,,,,,2.0,,-4.0,,,,,-3.7,,,,,,False,,,,,False,,,,
02198,11,0.0,,0.0,,,,,0.1,,,,,-11.0,,-11.0,,,,,-10.9,,,,,,False,,,,,True,,,,
02220,26,6.0,,0.0,,,,,1.1,,,,,-20.0,,-26.0,,,,,-24.9,,,,,,False,,,,,False,,,,
02230,0,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,True,,,,,,,,,
02240,14,42.0,,0.0,,,,,0.6,,,,,28.0,,-14.0,,,,,-13.4,,,,,,True,,,,,True,,,,
02261,82,18.0,,0.0,,,,,0.2,,,,,-64.0,,-82.0,,,,,-81.8,,,,,,False,,,,,False,,,,
02275,6,0.0,,0.0,,,,,,,,,,-6.0,,-6.0,,,,,,,,,,,False,,,,,,,,,
02282,12,0.0,,0.0,,,,,,,,,,-12.0,,-12.0,,,,,,,,,,,False,,,,,,,,,
02290,54,6.0,,0.0,,,,,0.3,,,,,-48.0,,-54.0,,,,,-53.7,,,,,,False,,,,,False,,,,
04001,819,1038.0,,1845.0,,,,1279.0,183.2,640.1,1253.6,,,219.0,,1026.0,,,,460.0,-635.8,-178.9,434.6,,,,False,,,,False,False,True,False,,
04003,1023,1212.0,,3083.0,,,,245.0,545.1,3320.9,1732.1,,,189.0,,2060.0,,,,-778.0,-477.9,2297.9,709.1,,,,False,,,,False,False,False,False,,
04005,1069,2232.0,,4866.0,,,,1115.0,2011.5,2103.1,3605.0,,,1163.0,,3797.0,,,,46.0,942.5,1034.1,2536.0,,,,False,,,,True,True,True,False,,
04007,679,516.0,,23.0,,,,723.0,578.8,1274.4,,,,-163.0,,-656.0,,,,44.0,-100.2,595.4,,,,,False,,,,True,True,False,,,
04009,476,270.0,,0.0,,,,189.0,664.6,711.1,,,,-206.0,,-476.0,,,,-287.0,188.6,235.1,,,,,False,,,,False,True,False,,,
04011,45,0.0,,0.0,,,,48.0,0.2,,,,,-45.0,,-45.0,,,,3.0,-44.8,,,,,,False,,,,True,True,,,,
04012,135,252.0,,0.0,,,,230.0,20.7,519.8,,,,117.0,,-135.0,,,,95.0,-114.3,384.8,,,,,False,,,,True,True,False,,,
04013,69036,104730.0,,408888.0,,,,141191.0,156197.7,218851.6,163960.1,,,35694.0,,339852.0,,,,72155.0,87161.7,149815.6,94924.1,,,,False,,,,False,False,False,False,,
