,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
02158,2,3.0,,0.0,,,,,,,,,,,,,,1.0,,-2.0,,,,,,,,,,,,,,,False,,,,,,,,,,,,,
02164,16,0.0,,0.0,,,,,0.0,,,0.0,,,,,,-16.0,,-16.0,,,,,-16.0,,,-16.0,,,,,,,False,,,,,False,,,False,,,,,
02170,113,129.0,,0.0,,,,,139.4,163.8,144.1,152.0,,,,,,16.0,,-113.0,,,,,26.4,50.8,31.1,39.0,,,,,,,False,,,,,False,False,False,False,,,,,
02180,9,9.0,,0.0,,,,,12.9,0.4,,,,,,,,0.0,,-9.0,,,,,3.9,-8.6,,,,,,,,,False,,,,,False,False,,,,,,,
02185,5,0.0,,0.0,,,,,24.8,0.1,,0.0,,,,,,-5.0,,-5.0,,,,,19.8,-4.9,,-5.0,,,,,,,False,,,,,False,True,,False,,,,,
02188,9,3.0,,0.0,,,,,14.0,0.2,,0.0,,,,,,-6.0,,-9.0,,,,,5.0,-8.8,,-9.0,,,,,,,False,,,,,True,False,,False,,,,,
02195,3,3.0,,0.0,,,,,2.9,0.2,,0.0,,,,,,0.0,,-3.0,,,,,-0.1,-2.8,,-3.0,,,,,,,False,,,,,False,False,,False,,,,,
02198,0,0.0,,0.0,,,,,10.0,0.1,,0.0,,,,,,0.0,,0.0,,,,,10.0,0.1,,0.0,,,,,,,True,,,,,False,False,,True,,,,,
02220,9,3.0,,0.0,,,,,14.7,0.8,,12.0,,,,,,-6.0,,-9.0,,,,,5.7,-8.2,,3.0,,,,,,,False,,,,,True,False,,True,,,,,
02230,0,0.0,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,True,,,,,True,,,True,,,,,
02240,9,21.0,,0.0,,,,,7.2,0.5,,20.0,,,,,,12.0,,-9.0,,,,,-1.8,-8.5,,11.0,,,,,,,True,,,,,True,True,,True,,,,,
02261,54,9.0,,0.0,,,,,0.0,0.1,,5.0,,,,,,-45.0,,-54.0,,,,,-54.0,-53.9,,-49.0,,,,,,,False,,,,,False,False,,False,,,,,
02275,1,0.0,,0.0,,,,,11.5,,,0.0,,,,,,-1.0,,-1.0,,,,,10.5,,,-1.0,,,,,,,False,,,,,False,,,False,,,,,
02282,2,0.0,,0.0,,,,,0.0,,,0.0,,,,,,-2.0,,-2.0,,,,,-2.0,,,-2.0,,,,,,,False,,,,,False,,,False,,,,,
02290,38,3.0,,0.0,,,,,17.0,0.2,,0.0,,,,,,-35.0,,-38.0,,,,,-21.0,-37.8,,-38.0,,,,,,,False,,,,,True,False,,False,,,,,
04001,486,519.0,,813.0,,,,797.0,513.8,134.3,245.7,,,568.4,,,,33.0,,327.0,,,,311.0,27.8,-351.7,-240.3,,,82.4,,,,,False,,,,False,True,False,False,,,False,,,
04003,623,606.0,,1307.0,,,,145.0,997.8,392.2,985.8,976.0,,888.0,,,,-17.0,,684.0,,,,-478.0,374.8,-230.8,362.8,353.0,,265.0,,,,,False,,,,False,False,False,False,False,,False,,,
04005,751,1116.0,,1955.0,,,,662.0,642.2,966.5,705.9,2222.0,,1580.0,,,,365.0,,1204.0,,,,-89.0,-108.8,215.5,-45.1,1471.0,,829.0,,,,,False,,,,True,True,True,True,False,,False,,,
04007,356,258.0,,1.0,,,,362.0,357.5,232.0,378.0,413.0,,,,,,-98.0,,-355.0,,,,6.0,1.5,-124.0,22.0,57.0,,,,,,,False,,,,True,True,False,True,True,,,,,
04009,235,135.0,,0.0,,,,98.0,104.2,229.7,176.2,192.0,,,,,,-100.0,,-235.0,,,,-137.0,-130.8,-5.3,-58.8,-43.0,,,,,,,False,,,,False,False,True,True,True,,,,,
04011,25,0.0,,0.0,,,,24.0,14.5,0.2,,,,,,,,-25.0,,-25.0,,,,-1.0,-10.5,-24.8,,,,,,,,,False,,,,True,True,True,,,,,,,
