,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
30101,32,98.0,,,,,9.9,34.9,,117.0,66.0,,,,,-22.1,2.9,,85.0,,,,,True,True,,False
30103,1,0.0,,,,,,,,0.0,-1.0,,,,,,,,-1.0,,,,,,,,False
30105,69,21.0,,,,,,,,7.0,-48.0,,,,,,,,-62.0,,,,,,,,False
30107,14,0.0,,,,,0.1,,,0.0,-14.0,,,,,-13.9,,,-14.0,,,,,True,,,False
30109,6,0.0,,,,,,,,23.0,-6.0,,,,,,,,17.0,,,,,,,,False
30111,1860,1491.0,1785.6,,,,2264.5,769.3,,1028.0,-369.0,-74.4,,,,404.5,-1090.7,,-832.0,True,,,,False,False,,False
31001,190,91.0,,,,,10.2,56.2,,41.0,-99.0,,,,,-179.8,-133.8,,-149.0,,,,,False,False,,False
31003,51,7.0,,,,,0.7,,,3.0,-44.0,,,,,-50.3,,,-48.0,,,,,False,,,False
31005,0,7.0,,,,,,,,0.0,7.0,,,,,,,,0.0,,,,,,,,True
31007,1,7.0,,,,,,,,19.0,6.0,,,,,,,,18.0,,,,,,,,False
31009,1,0.0,,,,,,,,,-1.0,,,,,,,,,,,,,,,,
31011,70,7.0,,,,,0.2,2.2,,92.0,-63.0,,,,,-69.8,-67.8,,22.0,,,,,False,False,,True
31013,66,7.0,,,,,0.7,,,47.0,-59.0,,,,,-65.3,,,-19.0,,,,,False,,,True
31015,18,21.0,,,,,0.1,,,48.0,3.0,,,,,-17.9,,,30.0,,,,,False,,,False
31017,34,0.0,,,,,,,,,-34.0,,,,,,,,,,,,,,,,
31019,640,511.0,,,,,159.4,351.8,,304.0,-129.0,,,,,-480.6,-288.2,,-336.0,,,,,False,False,,False
31021,46,63.0,,,,,5.8,36.9,,109.0,17.0,,,,,-40.2,-9.1,,63.0,,,,,False,True,,False
31023,53,28.0,,,,,2.9,10.0,,24.0,-25.0,,,,,-50.1,-43.0,,-29.0,,,,,False,False,,False
31025,153,140.0,,,,,34.9,120.1,,85.0,-13.0,,,,,-118.1,-32.9,,-68.0,,,,,False,False,,False
31027,63,7.0,,,,,2.2,5.4,,2.0,-56.0,,,,,-60.8,-57.6,,-61.0,,,,,False,False,,False
31029,17,0.0,,,,,0.2,1.6,,0.0,-17.0,,,,,-16.8,-15.4,,-17.0,,,,,True,True,,False
31031,43,0.0,,,,,0.1,,,0.0,-43.0,,,,,-42.9,,,-43.0,,,,,True,,,False
31033,12,0.0,,,,,1.7,14.4,,0.0,-12.0,,,,,-10.3,2.4,,-12.0,,,,,True,True,,False
31035,25,21.0,,,,,3.8,9.9,,8.0,-4.0,,,,,-21.2,-15.1,,-17.0,,,,,False,False,,False
31037,81,63.0,,,,,4.4,44.6,,0.0,-18.0,,,,,-76.6,-36.4,,-81.0,,,,,False,False,,False
31039,78,70.0,,,,,4.2,47.0,,31.0,-8.0,,,,,-73.8,-31.0,,-47.0,,,,,False,False,,False
31041,40,14.0,,,,,3.0,4.0,,18.0,-26.0,,,,,-37.0,-36.0,,-22.0,,,,,False,False,,True
31043,285,161.0,,,,,17.1,246.1,,0.0,-124.0,,,,,-267.9,-38.9,,-285.0,,,,,False,True,,False
31045,113,14.0,,,,,0.8,16.5,,5.0,-99.0,,,,,-112.2,-96.5,,-108.0,,,,,False,True,,False
31047,123,91.0,,,,,14.0,116.7,,14.0,-32.0,,,,,-109.0,-6.3,,-109.0,,,,,False,True,,False
31049,3,7.0,,,,,,,,36.0,4.0,,,,,,,,33.0,,,,,,,,False
31051,33,14.0,,,,,11.1,7.6,,96.0,-19.0,,,,,-21.9,-25.4,,63.0,,,,,False,False,,False
31053,369,287.0,,,,,48.2,127.6,,325.0,-82.0,,,,,-320.8,-241.4,,-44.0,,,,,False,False,,True
31055,4660,5950.0,8467.5,,,,1774.1,8334.4,,2935.0,1290.0,3807.5,,,,-2885.9,3674.4,,-1725.0,False,,,,False,False,,False
31057,11,0.0,,,,,,,,0.0,-11.0,,,,,,,,-11.0,,,,,,,,False
31059,31,7.0,,,,,3.4,7.2,,14.0,-24.0,,,,,-27.6,-23.8,,-17.0,,,,,False,True,,True
31061,16,21.0,,,,,0.3,8.3,,40.0,5.0,,,,,-15.7,-7.7,,24.0,,,,,False,False,,False
31063,5,0.0,,,,,0.0,,,0.0,-5.0,,,,,-5.0,,,-5.0,,,,,True,,,False
31065,26,0.0,,,,,0.6,,,0.0,-26.0,,,,,-25.4,,,-26.0,,,,,True,,,False
31067,158,56.0,,,,,8.9,51.6,,31.0,-102.0,,,,,-149.1,-106.4,,-127.0,,,,,False,False,,False
31069,6,0.0,,,,,0.1,,,0.0,-6.0,,,,,-5.9,,,-6.0,,,,,True,,,False
31071,8,0.0,,,,,0.0,,,0.0,-8.0,,,,,-8.0,,,-8.0,,,,,True,,,False
31073,15,28.0,,,,,0.8,9.7,,18.0,13.0,,,,,-14.2,-5.3,,3.0,,,,,False,True,,True
31075,1,0.0,,,,,,,,,-1.0,,,,,,,,,,,,,,,,
31077,17,14.0,,,,,0.4,6.8,,28.0,-3.0,,,,,-16.6,-10.2,,11.0,,,,,False,False,,False
31079,267,231.0,2.2,,,,34.0,259.1,,90.0,-36.0,-264.8,,,,-233.0,-7.9,,-177.0,False,,,,False,True,,False
31081,32,28.0,,,,,2.3,56.9,,4.0,-4.0,,,,,-29.7,24.9,,-28.0,,,,,False,False,,False
31083,21,0.0,,,,,0.0,,,0.0,-21.0,,,,,-21.0,,,-21.0,,,,,True,,,False
31085,0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,
31087,3,0.0,,,,,0.0,,,0.0,-3.0,,,,,-3.0,,,-3.0,,,,,True,,,False
31089,61,42.0,,,,,1.4,24.2,,115.0,-19.0,,,,,-59.6,-36.8,,54.0,,,,,False,False,,False
31091,3,0.0,,,,,,,,0.0,-3.0,,,,,,,,-3.0,,,,,,,,False
31093,41,0.0,,,,,3.0,1.7,,0.0,-41.0,,,,,-38.0,-39.3,,-41.0,,,,,True,True,,False
31095,14,14.0,,,,,2.0,,,11.0,0.0,,,,,-12.0,,,-3.0,,,,,False,,,False
31097,36,14.0,,,,,0.4,,,42.0,-22.0,,,,,-35.6,,,6.0,,,,,False,,,True
31099,89,154.0,,,,,3.5,83.2,,101.0,65.0,,,,,-85.5,-5.8,,12.0,,,,,False,True,,True
31101,47,28.0,,,,,1.2,,,9.0,-19.0,,,,,-45.8,,,-38.0,,,,,False,,,False
31103,6,0.0,,,,,,,,,-6.0,,,,,,,,,,,,,,,,
31105,0,0.0,,,,,0.4,3.5,,0.0,0.0,,,,,0.4,3.5,,0.0,,,,,False,False,,True
31107,131,21.0,,,,,6.2,29.5,,30.0,-110.0,,,,,-124.8,-101.5,,-101.0,,,,,False,True,,True
31109,2903,1512.0,2886.2,,,,676.1,1448.4,,597.0,-1391.0,-16.8,,,,-2226.9,-1454.6,,-2306.0,True,,,,False,False,,False
31111,261,105.0,,,,,91.1,38.3,,49.0,-156.0,,,,,-169.9,-222.7,,-212.0,,,,,False,False,,False
31113,7,0.0,,,,,,,,,-7.0,,,,,,,,,,,,,,,,
31115,3,0.0,,,,,,,,,-3.0,,,,,,,,,,,,,,,,
31117,1,7.0,,,,,,6.3,,11.0,6.0,,,,,,5.3,,10.0,,,,,,True,,False
31119,375,238.0,,,,,63.3,106.4,,342.0,-137.0,,,,,-311.7,-268.6,,-33.0,,,,,False,False,,True
31121,24,91.0,,,,,4.5,71.1,,109.0,67.0,,,,,-19.5,47.1,,85.0,,,,,True,True,,False
31123,21,0.0,,,,,16.0,25.7,,0.0,-21.0,,,,,-5.0,4.7,,-21.0,,,,,True,True,,False
31125,39,0.0,,,,,0.2,1.1,,0.0,-39.0,,,,,-38.8,-37.9,,-39.0,,,,,True,True,,False
31127,95,56.0,,,,,3.9,,,31.0,-39.0,,,,,-91.1,,,-64.0,,,,,False,,,False
31129,13,0.0,,,,,0.1,,,0.0,-13.0,,,,,-12.9,,,-13.0,,,,,True,,,False
31131,106,21.0,,,,,16.2,20.1,,9.0,-85.0,,,,,-89.8,-85.9,,-97.0,,,,,False,False,,False
31133,10,14.0,,,,,,15.0,,4.0,4.0,,,,,,5.0,,-6.0,,,,,,False,,False
31135,17,28.0,,,,,,,,8.0,11.0,,,,,,,,-9.0,,,,,,,,True
31137,70,21.0,,,,,2.4,26.1,,18.0,-49.0,,,,,-67.6,-43.9,,-52.0,,,,,False,True,,False
31139,89,14.0,,,,,2.2,,,122.0,-75.0,,,,,-86.8,,,33.0,,,,,False,,,True
31141,288,196.0,,,,,30.7,149.3,,63.0,-92.0,,,,,-257.3,-138.7,,-225.0,,,,,False,False,,False
31143,31,14.0,,,,,1.2,11.4,,3.0,-17.0,,,,,-29.8,-19.6,,-28.0,,,,,False,False,,False
31145,19,0.0,,,,,0.8,,,2.0,-19.0,,,,,-18.2,,,-17.0,,,,,True,,,True
31147,31,14.0,,,,,3.2,,,5.0,-17.0,,,,,-27.8,,,-26.0,,,,,False,,,False
31149,40,7.0,,,,,,,,29.0,-33.0,,,,,,,,-11.0,,,,,,,,True
31151,139,98.0,,,,,6.7,49.9,,28.0,-41.0,,,,,-132.3,-89.1,,-111.0,,,,,False,False,,False
31153,1360,1610.0,2685.8,,,,999.3,2063.3,,726.0,250.0,1325.8,,,,-360.7,703.3,,-634.0,False,,,,False,False,,False
31155,313,196.0,,,,,96.2,149.5,,174.0,-117.0,,,,,-216.8,-163.5,,-139.0,,,,,False,False,,False
31157,113,98.0,,,,,10.0,97.1,,108.0,-15.0,,,,,-103.0,-15.9,,-5.0,,,,,False,False,,True
31159,114,161.0,,,,,15.6,215.3,,64.0,47.0,,,,,-98.4,101.3,,-50.0,,,,,False,False,,False
31161,39,0.0,,,,,,1.4,,0.0,-39.0,,,,,,-37.6,,-39.0,,,,,,True,,False
31163,14,28.0,,,,,0.3,11.4,,25.0,14.0,,,,,-13.7,-2.6,,11.0,,,,,True,True,,True
31165,2,0.0,,,,,,1.3,,0.0,-2.0,,,,,,-0.7,,-2.0,,,,,,True,,False
31167,13,21.0,,,,,1.3,11.2,,37.0,8.0,,,,,-11.7,-1.8,,24.0,,,,,False,True,,False
31169,4,14.0,,,,,1.1,,,29.0,10.0,,,,,-2.9,,,25.0,,,,,True,,,False
31171,6,0.0,,,,,0.0,,,0.0,-6.0,,,,,-6.0,,,-6.0,,,,,True,,,False
31173,53,28.0,,,,,1.5,22.7,,5.0,-25.0,,,,,-51.5,-30.3,,-48.0,,,,,False,False,,False
31175,28,0.0,,,,,0.6,3.3,,0.0,-28.0,,,,,-27.4,-24.7,,-28.0,,,,,True,True,,False
31177,146,98.0,,,,,78.9,108.9,,63.0,-48.0,,,,,-67.1,-37.1,,-83.0,,,,,False,True,,False
31179,107,14.0,,,,,2.4,25.5,,179.0,-93.0,,,,,-104.6,-81.5,,72.0,,,,,False,True,,True
31181,10,0.0,,,,,0.3,1.4,,0.0,-10.0,,,,,-9.7,-8.6,,-10.0,,,,,True,True,,False
31183,3,0.0,,,,,,,,,-3.0,,,,,,,,,,,,,,,,
31185,90,35.0,,,,,6.5,12.7,,38.0,-55.0,,,,,-83.5,-77.3,,-52.0,,,,,False,False,,True
32001,86,126.0,,,,,20.2,138.7,,368.0,40.0,,,,,-65.8,52.7,,282.0,,,,,False,False,,False
32003,18270,39004.0,61077.2,,,,36077.2,22157.2,,17369.0,20734.0,42807.2,,,,17807.2,3887.2,,-901.0,False,,,,True,True,,True
32005,99,210.0,,,,,126.9,332.6,,219.0,111.0,,,,,27.9,233.6,,120.0,,,,,True,False,,False
32007,419,476.0,1075.2,,,,246.1,246.3,,282.0,57.0,656.2,,,,-172.9,-172.7,,-137.0,False,,,,False,False,,False
32009,0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,
32011,8,0.0,,,,,,,,0.0,-8.0,,,,,,,,-8.0,,,,,,,,False
32013,21,42.0,,,,,4.1,36.5,,152.0,21.0,,,,,-16.9,15.5,,131.0,,,,,True,True,,False
32015,19,7.0,,,,,16.4,5.3,,2.0,-12.0,,,,,-2.6,-13.7,,-17.0,,,,,True,False,,False
32017,3,14.0,,,,,0.2,,,186.0,11.0,,,,,-2.8,,,183.0,,,,,True,,,False
32019,213,147.0,229.5,,,,17.2,176.8,,248.0,-66.0,16.5,,,,-195.8,-36.2,,35.0,True,,,,False,True,,True
32021,2,0.0,,,,,0.8,,,0.0,-2.0,,,,,-1.2,,,-2.0,,,,,True,,,False
32023,98,455.0,,,,,215.0,245.6,,276.0,357.0,,,,,117.0,147.6,,178.0,,,,,True,True,,True
32027,11,0.0,,,,,4.6,,,0.0,-11.0,,,,,-6.4,,,-11.0,,,,,True,,,False
32029,6,0.0,,,,,0.4,,,0.0,-6.0,,,,,-5.6,,,-6.0,,,,,True,,,False
32031,3457,3703.0,6113.6,,,,2908.2,2689.8,,2591.0,246.0,2656.6,,,,-548.8,-767.2,,-866.0,False,,,,False,False,,False
32033,49,14.0,,,,,3.4,,,35.0,-35.0,,,,,-45.6,,,-14.0,,,,,False,,,True
32510,197,217.0,398.9,,,,79.2,153.1,,160.0,20.0,201.9,,,,-117.8,-43.9,,-37.0,False,,,,False,False,,False
33001,32,70.0,32.1,,,,11.9,41.9,,181.0,38.0,0.1,,,,-20.1,9.9,,149.0,True,,,,True,True,,False
33003,30,28.0,,,,,3.5,20.8,,20.0,-2.0,,,,,-26.5,-9.2,,-10.0,,,,,False,False,,False
33005,46,49.0,13.3,,,,3.2,36.2,,329.0,3.0,-32.7,,,,-42.8,-9.8,,283.0,False,,,,False,False,,False
33007,6,7.0,,,,,0.3,,,1.0,1.0,,,,,-5.7,,,-5.0,,,,,False,,,False
33009,35,0.0,4.2,,,,0.1,13.1,,0.0,-35.0,-30.8,,,,-34.9,-21.9,,-35.0,True,,,,True,True,,False
33011,524,609.0,1482.0,,,,137.1,484.0,,360.0,85.0,958.0,,,,-386.9,-40.0,,-164.0,False,,,,False,True,,False
33013,109,42.0,82.8,,,,2.6,29.7,,22.0,-67.0,-26.2,,,,-106.4,-79.3,,-87.0,True,,,,False,False,,False
33015,322,413.0,126.6,,,,57.4,370.5,,451.0,91.0,-195.4,,,,-264.6,48.5,,129.0,False,,,,False,True,,False
33017,189,175.0,48.8,,,,32.6,83.6,,775.0,-14.0,-140.2,,,,-156.4,-105.4,,586.0,False,,,,False,False,,False
33019,15,0.0,,,,,1.0,5.9,,8.0,-15.0,,,,,-14.0,-9.1,,-7.0,,,,,True,True,,True
34001,599,525.0,342.7,,,,140.0,842.9,,394.0,-74.0,-256.3,,,,-459.0,243.9,,-205.0,False,,,,False,False,,False
34003,1658,1799.0,543.6,,,,994.7,2495.7,,587.0,141.0,-1114.4,,,,-663.3,837.7,,-1071.0,False,,,,False,False,,False
34005,1121,1155.0,432.3,,,,698.7,1776.4,,681.0,34.0,-688.7,,,,-422.3,655.4,,-440.0,False,,,,False,False,,False
34007,1335,1337.0,295.2,,,,501.0,1746.4,,705.0,2.0,-1039.8,,,,-834.0,411.4,,-630.0,False,,,,False,False,,False
34009,200,105.0,53.4,,,,33.4,47.7,,85.0,-95.0,-146.7,,,,-166.6,-152.3,,-115.0,False,,,,False,False,,False
34011,446,728.0,938.9,,,,120.7,621.5,,240.0,282.0,492.9,,,,-325.3,175.5,,-206.0,False,,,,False,True,,True
34013,1312,1470.0,828.4,,,,438.6,1545.9,,422.0,158.0,-483.6,,,,-873.4,233.9,,-890.0,False,,,,False,False,,False
34015,1253,1092.0,405.3,,,,461.2,1310.5,,597.0,-161.0,-847.7,,,,-791.8,57.5,,-656.0,False,,,,False,True,,False
34017,980,1008.0,109.2,,,,284.6,219.1,,242.0,28.0,-870.8,,,,-695.4,-760.9,,-738.0,False,,,,False,False,,False
34019,165,84.0,101.5,,,,9.6,18.7,,73.0,-81.0,-63.5,,,,-155.4,-146.3,,-92.0,True,,,,False,False,,False
34021,513,616.0,405.2,,,,187.9,988.0,,234.0,103.0,-107.8,,,,-325.1,475.0,,-279.0,False,,,,False,False,,False
34023,1495,1288.0,597.3,,,,654.5,1414.8,,479.0,-207.0,-897.7,,,,-840.5,-80.2,,-1016.0,False,,,,False,True,,False
34025,1494,1337.0,652.5,,,,589.1,700.5,,618.0,-157.0,-841.5,,,,-904.9,-793.5,,-876.0,False,,,,False,False,,False
34027,614,637.0,48.5,,,,196.5,541.4,,304.0,23.0,-565.5,,,,-417.5,-72.6,,-310.0,False,,,,False,False,,False
34029,2318,1022.0,436.4,,,,256.8,2374.7,,553.0,-1296.0,-1881.6,,,,-2061.2,56.7,,-1765.0,False,,,,False,True,,False
34031,1359,1106.0,184.1,,,,237.8,701.8,,167.0,-253.0,-1175.0,,,,-1121.2,-657.2,,-1192.0,False,,,,False,False,,False
34033,173,161.0,238.0,,,,15.5,105.1,,68.0,-12.0,65.0,,,,-157.5,-67.9,,-105.0,False,,,,False,False,,False
34035,555,315.0,118.8,,,,89.2,251.3,,170.0,-240.0,-436.2,,,,-465.8,-303.7,,-385.0,False,,,,False,False,,False
34037,171,189.0,29.1,,,,41.2,393.8,,113.0,18.0,-141.9,,,,-129.8,222.8,,-58.0,False,,,,False,False,,False
34039,939,826.0,93.4,,,,227.2,313.0,,212.0,-113.0,-845.6,,,,-711.8,-626.0,,-727.0,False,,,,False,False,,False
34041,102,98.0,16.2,,,,17.3,115.3,,60.0,-4.0,-85.8,,,,-84.7,13.3,,-42.0,False,,,,False,False,,False
35001,1333,2023.0,5763.6,,,,1310.3,1403.9,,825.0,690.0,4430.6,,,,-22.7,70.9,,-508.0,False,,,,True,True,,True
35003,7,7.0,,,,,0.0,,,60.0,0.0,,,,,-7.0,,,53.0,,,,,False,,,False
35005,715,609.0,453.2,,,,634.0,459.5,,401.0,-106.0,-261.8,,,,-81.0,-255.5,,-314.0,False,,,,True,False,,False
35006,75,203.0,,,,,23.3,270.7,,69.0,128.0,,,,,-51.7,195.7,,-6.0,,,,,True,False,,True
35007,13,35.0,,,,,0.1,,,148.0,22.0,,,,,-12.9,,,135.0,,,,,True,,,False
35009,247,574.0,,,,,182.4,449.9,,234.0,327.0,,,,,-64.6,202.9,,-13.0,,,,,True,True,,True
35011,2,0.0,,,,,,,,,-2.0,,,,,,,,,,,,,,,,
35013,922,1673.0,3278.2,,,,1562.7,1610.4,,874.0,751.0,2356.2,,,,640.7,688.4,,-48.0,False,,,,True,True,,True
35015,502,322.0,340.8,,,,100.1,320.6,,443.0,-180.0,-161.2,,,,-401.9,-181.4,,-59.0,True,,,,False,False,,True
35017,52,28.0,,,,,1.5,14.8,,32.0,-24.0,,,,,-50.5,-37.2,,-20.0,,,,,False,False,,True
35019,5,0.0,,,,,0.3,1.3,,0.0,-5.0,,,,,-4.7,-3.7,,-5.0,,,,,True,True,,False
35021,1,0.0,,,,,0.0,,,0.0,-1.0,,,,,-1.0,,,-1.0,,,,,True,,,False
35023,9,14.0,,,,,3.5,44.6,,64.0,5.0,,,,,-5.5,35.6,,55.0,,,,,False,False,,False
35025,643,875.0,934.2,,,,379.1,618.2,,529.0,232.0,291.2,,,,-263.9,-24.8,,-114.0,False,,,,False,True,,True
35027,86,182.0,,,,,107.8,251.4,,75.0,96.0,,,,,21.8,165.4,,-11.0,,,,,True,False,,True
35028,13,7.0,,,,,1.3,,,2.0,-6.0,,,,,-11.7,,,-11.0,,,,,False,,,False
35029,177,154.0,,,,,22.2,310.3,,39.0,-23.0,,,,,-154.8,133.3,,-138.0,,,,,False,False,,False
35031,303,308.0,329.9,,,,84.2,716.5,,0.0,5.0,26.9,,,,-218.8,413.5,,-303.0,False,,,,False,False,,False
35033,1,0.0,,,,,,2.7,,0.0,-1.0,,,,,,1.7,,-1.0,,,,,,False,,False
35035,65,126.0,373.0,,,,17.5,247.0,,24.0,61.0,308.0,,,,-47.5,182.0,,-41.0,False,,,,True,False,,True
35037,42,21.0,,,,,0.6,,,30.0,-21.0,,,,,-41.4,,,-12.0,,,,,False,,,True
35039,81,154.0,,,,,84.9,114.4,,69.0,73.0,,,,,3.9,33.4,,-12.0,,,,,True,True,,True
35041,123,147.0,,,,,25.7,107.8,,40.0,24.0,,,,,-97.3,-15.2,,-83.0,,,,,False,True,,False
35043,222,308.0,293.0,,,,134.6,546.1,,110.0,86.0,71.0,,,,-87.4,324.1,,-112.0,True,,,,False,False,,False
35045,296,287.0,959.5,,,,102.1,292.3,,62.0,-9.0,663.5,,,,-193.9,-3.7,,-234.0,False,,,,False,True,,False
35047,64,14.0,,,,,1.0,32.8,,3.0,-50.0,,,,,-63.0,-31.2,,-61.0,,,,,False,True,,False
35049,356,427.0,786.7,,,,254.3,382.4,,251.0,71.0,430.7,,,,-101.7,26.4,,-105.0,False,,,,False,True,,False
35051,14,21.0,,,,,1.3,17.1,,14.0,7.0,,,,,-12.7,3.1,,0.0,,,,,False,True,,True
35053,30,0.0,,,,,2.3,7.6,,0.0,-30.0,,,,,-27.7,-22.4,,-30.0,,,,,True,True,,False
35055,36,84.0,,,,,9.3,26.1,,70.0,48.0,,,,,-26.7,-9.9,,34.0,,,,,True,True,,True
35057,11,14.0,,,,,1.0,7.9,,1.0,3.0,,,,,-10.0,-3.1,,-10.0,,,,,False,False,,False
35059,4,14.0,,,,,1.5,,,11.0,10.0,,,,,-2.5,,,7.0,,,,,True,,,True
35061,171,343.0,529.3,,,,163.4,187.9,,166.0,172.0,358.3,,,,-7.6,16.9,,-5.0,False,,,,True,True,,True
36001,501,462.0,255.7,,,,115.5,483.7,,250.0,-39.0,-245.3,,,,-385.5,-17.3,,-251.0,False,,,,False,True,,False
36003,27,35.0,,,,,4.4,23.8,,52.0,8.0,,,,,-22.6,-3.2,,25.0,,,,,False,True,,False
36005,2752,0.0,,,,,,,,,-2752.0,,,,,,,,,,,,,,,,
36007,430,504.0,444.4,,,,77.8,318.7,,405.0,74.0,14.4,,,,-352.2,-111.3,,-25.0,True,,,,False,False,,True
36009,94,49.0,67.8,,,,0.5,50.6,,34.0,-45.0,-26.2,,,,-93.5,-43.4,,-60.0,True,,,,False,True,,False
36011,60,49.0,90.9,,,,1.8,56.3,,45.0,-11.0,30.9,,,,-58.2,-3.7,,-15.0,False,,,,False,True,,False
36013,315,154.0,348.7,,,,12.4,75.0,,147.0,-161.0,33.7,,,,-302.6,-240.0,,-168.0,True,,,,False,False,,False
36015,269,56.0,4.6,,,,8.1,68.6,,96.0,-213.0,-264.4,,,,-260.9,-200.4,,-173.0,False,,,,False,True,,True
36017,34,42.0,,,,,5.6,25.0,,16.0,8.0,,,,,-28.4,-9.0,,-18.0,,,,,False,False,,False
36019,32,0.0,8.3,,,,0.1,13.7,,5.0,-32.0,-23.7,,,,-31.9,-18.3,,-27.0,True,,,,True,True,,True
36021,52,140.0,84.3,,,,9.5,100.0,,324.0,88.0,32.3,,,,-42.5,48.0,,272.0,True,,,,True,True,,False
36023,76,28.0,,,,,4.1,14.1,,7.0,-48.0,,,,,-71.9,-61.9,,-69.0,,,,,False,False,,False
36025,28,14.0,,,,,0.1,10.5,,12.0,-14.0,,,,,-27.9,-17.5,,-16.0,,,,,False,False,,False
36027,515,672.0,83.1,,,,91.3,521.0,,1154.0,157.0,-431.9,,,,-423.7,6.0,,639.0,False,,,,False,True,,False
36029,2458,2114.0,246.7,,,,659.2,1771.8,,2571.0,-344.0,-2211.3,,,,-1798.8,-686.2,,113.0,False,,,,False,False,,True
36031,112,0.0,,,,,1.6,2.8,,0.0,-112.0,,,,,-110.4,-109.2,,-112.0,,,,,True,True,,False
36033,12,28.0,25.0,,,,1.4,25.8,,26.0,16.0,13.0,,,,-10.6,13.8,,14.0,True,,,,True,True,,True
36035,39,91.0,78.8,,,,8.7,56.3,,776.0,52.0,39.8,,,,-30.3,17.3,,737.0,True,,,,True,True,,False
36037,42,35.0,18.2,,,,3.1,39.9,,32.0,-7.0,-23.8,,,,-38.9,-2.1,,-10.0,False,,,,False,True,,False
36039,32,14.0,,,,,1.9,23.3,,10.0,-18.0,,,,,-30.1,-8.7,,-22.0,,,,,False,True,,False
36041,7,7.0,,,,,0.1,4.4,,13.0,0.0,,,,,-6.9,-2.6,,6.0,,,,,False,False,,False
36043,61,231.0,141.1,,,,9.5,114.1,,295.0,170.0,80.1,,,,-51.5,53.1,,234.0,True,,,,True,True,,False
36045,27,70.0,5.8,,,,4.5,60.1,,28.0,43.0,-21.2,,,,-22.5,33.1,,1.0,True,,,,True,True,,True
36047,5009,0.0,,,,,,,,,-5009.0,,,,,,,,,,,,,,,,
36049,9,49.0,,,,,1.9,17.8,,772.0,40.0,,,,,-7.1,8.8,,763.0,,,,,True,True,,False
36051,31,70.0,17.5,,,,6.9,46.8,,120.0,39.0,-13.5,,,,-24.1,15.8,,89.0,True,,,,True,True,,False
36053,81,91.0,49.9,,,,9.8,70.1,,174.0,10.0,-31.1,,,,-71.2,-10.9,,93.0,False,,,,False,False,,False
36055,1080,1260.0,1153.6,,,,324.5,809.8,,1120.0,180.0,73.6,,,,-755.5,-270.2,,40.0,True,,,,False,False,,True
36057,60,119.0,,,,,18.3,69.4,,385.0,59.0,,,,,-41.7,9.4,,325.0,,,,,True,True,,False
36059,2948,2499.0,96.9,,,,947.6,2970.1,,2547.0,-449.0,-2851.1,,,,-2000.4,22.1,,-401.0,False,,,,False,True,,True
36061,2414,14868.0,,,,,,13300.0,,11690.0,12454.0,,,,,,10886.0,,9276.0,,,,,,True,,True
36063,279,350.0,208.0,,,,82.7,188.5,,424.0,71.0,-71.0,,,,-196.3,-90.5,,145.0,True,,,,False,False,,False
36065,265,427.0,1370.9,,,,156.2,227.7,,275.0,162.0,1105.9,,,,-108.8,-37.3,,10.0,False,,,,True,True,,True
36067,777,616.0,891.8,,,,116.4,487.5,,358.0,-161.0,114.8,,,,-660.6,-289.5,,-419.0,True,,,,False,False,,False
36069,114,56.0,139.0,,,,13.7,25.6,,16.0,-58.0,25.0,,,,-100.3,-88.4,,-98.0,True,,,,False,False,,False
36071,858,476.0,29.9,,,,138.0,504.1,,397.0,-382.0,-828.1,,,,-720.0,-353.9,,-461.0,False,,,,False,True,,False
36073,34,21.0,,,,,0.3,5.2,,110.0,-13.0,,,,,-33.7,-28.8,,76.0,,,,,False,False,,False
36075,230,63.0,108.6,,,,9.2,28.1,,87.0,-167.0,-121.4,,,,-220.8,-201.9,,-143.0,True,,,,False,False,,True
36077,222,28.0,9.7,,,,0.7,25.5,,26.0,-194.0,-212.3,,,,-221.3,-196.5,,-196.0,False,,,,False,False,,False
36079,150,154.0,21.2,,,,27.3,121.8,,182.0,4.0,-128.8,,,,-122.7,-28.2,,32.0,False,,,,False,False,,False
36081,3594,0.0,,,,,,,,,-3594.0,,,,,,,,,,,,,,,,
36083,147,189.0,128.4,,,,66.8,115.0,,234.0,42.0,-18.6,,,,-80.2,-32.0,,87.0,True,,,,False,True,,False
36085,958,0.0,,,,,,,,,-958.0,,,,,,,,,,,,,,,,
36087,1164,392.0,29.2,,,,99.2,774.0,,356.0,-772.0,-1134.8,,,,-1064.8,-390.0,,-808.0,False,,,,False,True,,False
