,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
South Carolina,93925,50897.0,102053.4,,54684.8,,46999.0,51827.3,54347.9,21815.5,40136.0,-43028.0,8128.4,,-39240.2,,-46926.0,-42097.7,-39577.1,-72109.5,-53789.0,True,,True,,False,True,True,False,False
South Dakota,48344,54957.0,52311.7,,49734.3,,54658.0,65472.9,92588.6,26967.7,10567.0,6613.0,3967.7,,1390.3,,6314.0,17128.9,44244.6,-21376.3,-37777.0,True,,True,,True,False,False,False,False
Tennessee,242979,116095.0,216017.8,,130099.6,,121143.0,144354.7,175265.8,84698.6,66952.0,-126884.0,-26961.2,,-112879.4,,-121836.0,-98624.3,-67713.2,-158280.4,-176027.0,True,,True,,True,True,True,False,False
Texas,642317,307293.0,317984.6,,322258.5,,395006.0,298177.7,447882.0,121455.2,300733.0,-335024.0,-324332.4,,-320058.5,,-247311.0,-344139.3,-194435.0,-520861.8,-341584.0,True,,True,,True,False,True,False,False
Utah,134314,80773.0,53989.0,,78090.3,,82892.0,91891.4,44506.0,36372.6,45913.0,-53541.0,-80325.0,,-56223.7,,-51422.0,-42422.6,-89808.0,-97941.4,-88401.0,False,,False,,True,True,False,False,False
Vermont,4164,952.0,220.8,,224.0,,1311.0,672.2,7299.7,727.1,1590.0,-3212.0,-3943.2,,-3940.0,,-2853.0,-3491.8,3135.7,-3436.9,-2574.0,False,,False,,True,False,True,False,True
Virginia,121782,61726.0,132859.8,,59909.3,,51372.0,61979.2,96460.0,47804.3,66303.0,-60056.0,11077.8,,-61872.7,,-70410.0,-59802.8,-25322.0,-73977.7,-55479.0,True,,False,,False,True,True,False,True
Washington,111792,36659.0,56042.0,,52143.1,,28743.0,40531.6,38778.3,25185.3,44435.0,-75133.0,-55750.0,,-59648.9,,-83049.0,-71260.4,-73013.7,-86606.7,-67357.0,True,,True,,False,True,True,False,True
West Virginia,46755,19208.0,39753.7,,17461.9,,15338.0,20083.6,63143.8,8694.8,12618.0,-27547.0,-7001.3,,-29293.1,,-31417.0,-26671.4,16388.8,-38060.2,-34137.0,True,,False,,False,True,True,False,False
Wisconsin,252810,215803.0,407471.4,,219847.3,,196371.0,287401.7,424931.9,318152.0,90577.0,-37007.0,154661.4,,-32962.7,,-56439.0,34591.7,172121.9,65342.0,-162233.0,False,,True,,False,True,False,False,False
Wyoming,28190,17451.0,55875.4,,20887.8,,19255.0,23578.9,74268.8,25824.1,11630.0,-10739.0,27685.4,,-7302.2,,-8935.0,-4611.1,46078.8,-2365.9,-16560.0,False,,True,,True,True,False,True,False
US,8578713,3840648.0,4463925.6,16935695.0,5443209.6,4058263.0,3708599.0,4116664.4,4918011.4,3826283.3,3739792.0,-4738065.0,-4114787.4,8356982.0,-3135503.4,-4520450.0,-4870114.0,-4462048.6,-3660701.6,-4752429.7,-4838921.0,True,False,True,True,False,True,True,False,False
