,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
South Carolina,3935,4277.7,5859.0,4272.4,3906.0,,3983.0,4171.5,3574.0,4218.5,4055.9,,3493.1,,3948.8,4689.3,3900.0,3578.5,3771.1,342.7,1924.0,337.4,-29.0,,48.0,236.5,-361.0,283.5,120.9,,-441.9,,13.8,754.3,-35.0,-356.5,-163.9,False,True,True,,True,True,False,True,True,,False,,True,False,True,False,True
South Dakota,425,259.4,224.0,302.7,195.0,,352.0,292.6,260.4,219.4,378.8,,210.9,,226.1,319.6,216.0,211.7,263.3,-165.6,-201.0,-122.3,-230.0,,-73.0,-132.4,-164.6,-205.6,-46.2,,-214.1,,-198.9,-105.4,-209.0,-213.3,-161.7,False,True,False,,True,True,True,False,True,,False,,False,True,False,False,True
Tennessee,3353,3538.6,3639.0,2928.4,2747.0,,3280.0,2930.7,2601.1,2605.5,4084.8,,2530.2,,3208.4,2689.3,3025.0,2497.8,2932.0,185.6,286.0,-424.6,-606.0,,-73.0,-422.3,-751.9,-747.5,731.8,,-822.8,,-144.6,-663.7,-328.0,-855.2,-421.0,False,False,False,,True,False,False,False,False,,False,,True,False,False,False,False
Texas,18788,19554.7,16756.0,17129.3,18392.0,,19069.0,17380.4,16777.0,17595.4,21047.5,,16548.0,18522.0,18436.4,17650.6,17192.0,16749.0,17165.7,1070.7,-1728.0,-1354.7,-92.0,,585.0,-1103.6,-1707.0,-888.6,2563.5,,-1936.0,38.0,-47.6,-833.4,-1292.0,-1735.0,-1318.3,False,False,True,,True,False,False,True,False,,False,True,True,True,False,False,False
Utah,604,508.4,645.0,671.9,491.0,,701.0,570.7,497.7,518.5,572.8,,442.8,,548.6,641.5,549.0,411.5,551.4,-95.6,41.0,67.9,-113.0,,97.0,-33.3,-106.3,-85.5,-31.2,,-161.2,,-55.4,37.5,-55.0,-192.5,-52.6,True,True,False,,False,True,False,True,True,,False,,True,True,True,False,True
Vermont,58,58.0,58.0,60.8,59.0,,77.0,58.0,74.6,59.7,67.8,,58.0,,59.0,68.1,58.0,58.0,64.7,0.0,0.0,2.8,1.0,,19.0,0.0,16.6,1.7,9.8,,0.0,,1.0,10.1,0.0,0.0,6.7,True,False,False,,False,True,False,False,False,,True,,False,False,True,False,False
Virginia,3654,3039.4,3991.0,3309.2,2844.0,,3613.0,3375.8,3605.4,3055.1,3382.2,,2876.8,,2962.1,3847.3,2955.0,3036.4,3236.6,-614.6,337.0,-344.8,-810.0,,-41.0,-278.2,-48.6,-598.9,-271.8,,-777.2,,-691.9,193.3,-699.0,-617.6,-417.4,True,True,False,,True,True,True,True,True,,False,,False,True,False,False,True
Washington,2345,2251.6,2159.0,2208.4,2520.0,,2232.0,2247.8,2309.3,2177.9,2653.1,,2084.0,,2341.0,2488.4,2206.0,2208.8,2258.9,-101.4,-194.0,-144.6,167.0,,-121.0,-105.2,-43.7,-175.1,300.1,,-269.0,,-12.0,135.4,-147.0,-144.2,-94.1,False,False,False,,False,False,True,False,False,,False,,True,False,False,False,True
West Virginia,459,390.4,1623.0,625.9,381.0,,588.0,640.6,423.3,435.5,696.3,,310.9,,373.4,501.1,455.0,338.2,435.4,-68.6,1164.0,166.9,-78.0,,129.0,181.6,-35.7,-23.5,237.3,,-148.1,,-85.6,42.1,-4.0,-120.8,-23.6,False,False,False,,False,False,True,True,False,,False,,False,True,True,False,True
Wisconsin,2339,1498.0,2394.0,1766.9,1618.0,,1627.0,1686.1,1793.4,1513.1,1532.8,,1388.9,,1451.7,2641.5,1686.0,1362.7,1536.7,-783.0,113.0,-514.1,-663.0,,-654.0,-594.9,-487.6,-767.9,-748.2,,-892.1,,-829.3,360.5,-595.0,-918.3,-744.3,True,True,True,,True,True,True,True,True,,False,,False,True,True,False,True
Wyoming,87,42.0,61.0,59.4,57.0,,131.0,65.1,96.9,56.8,246.4,,60.9,,45.1,72.4,46.0,83.2,58.0,-45.0,-26.0,-27.6,-30.0,,44.0,-21.9,9.9,-30.2,159.4,,-26.1,,-41.9,-14.6,-41.0,-3.8,-29.0,True,True,True,,True,True,True,True,False,,True,,True,True,True,True,True
US,231633,229248.1,226647.0,220161.2,219963.0,236011.8,231828.0,222153.0,218182.6,213904.7,,219586.0,208191.8,227945.0,220517.1,237007.9,219524.0,216377.1,218352.6,-2272.9,-4874.0,-11359.8,-11558.0,4490.8,307.0,-9368.0,-13338.4,-17616.3,,-11935.0,-23329.2,-3576.0,-11003.9,5486.9,-11997.0,-15143.9,-13168.4,False,False,False,False,True,False,False,False,,False,False,False,False,False,False,False,False
