,perc_error_2020-04-20_2020-05-16,perc_error_2020-04-27_2020-05-23,perc_error_2020-05-04_2020-05-30,perc_error_2020-05-11_2020-06-06,perc_error_2020-05-18_2020-06-13,perc_error_2020-05-25_2020-06-20,perc_error_2020-06-01_2020-06-27,perc_error_2020-06-08_2020-07-04,perc_error_2020-06-15_2020-07-11,perc_error_2020-06-22_2020-07-18,perc_error_2020-06-29_2020-07-25,perc_error_2020-07-06_2020-08-01,perc_error_2020-07-13_2020-08-08,perc_error_2020-07-20_2020-08-15,perc_error_2020-07-27_2020-08-22,perc_error_2020-08-03_2020-08-29,perc_error_2020-08-10_2020-09-05,perc_error_2020-08-17_2020-09-12,perc_error_2020-08-24_2020-09-19,perc_error_2020-08-31_2020-09-26,perc_error_2020-09-07_2020-10-03,perc_error_2020-09-14_2020-10-10,perc_error_2020-09-21_2020-10-17,perc_error_2020-09-28_2020-10-24,perc_error_2020-10-05_2020-10-31,perc_error_2020-10-12_2020-11-07,perc_error_2020-10-19_2020-11-14,perc_error_2020-10-26_2020-11-21,perc_error_2020-11-02_2020-11-28,perc_error_2020-11-09_2020-12-05,perc_error_2020-11-16_2020-12-12,perc_error_2020-11-23_2020-12-19,perc_error_2020-11-30_2020-12-26,perc_error_2020-12-07_2021-01-02,perc_error_2020-12-14_2021-01-09,perc_error_2020-12-21_2021-01-16,perc_error_2020-12-28_2021-01-23,perc_error_2021-01-04_2021-01-30,perc_error_2021-01-11_2021-02-06,perc_error_2021-01-18_2021-02-13,perc_error_2021-01-25_2021-02-20,perc_error_2021-02-01_2021-02-27,perc_error_2021-02-08_2021-03-06
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,0.647,0.728,0.813,0.569,0.647,0.168,0.042,-0.037,0.008,-0.123,-0.277,-0.299,-0.299,-0.316,-0.413,-0.415,-0.415,-0.104,0.020,-0.199,-0.324,-0.429,-0.483,0.276,0.557,0.409,0.285,0.436
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.212,-0.333,-0.385,-0.216,-0.052,-0.179,-0.096,0.107,0.002,-0.169,,,,0.190,0.300,
Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.320,-0.280,-0.278,-0.184,-0.266,-0.120,-0.076,-0.035,-0.184,-0.250,-0.229,-0.119,,0.132,0.182
Auquan-SEIR,,,,,,,0.798,2.983,1.753,1.841,-0.320,-0.415,,,,-0.265,-0.219,-0.167,-0.097,,,,,,,,,,,,,,,,,,,,,,,,
MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,-0.098,-0.274,-0.282,-0.286,-0.307,-0.322,-0.142,-0.227,-0.081,,,,,,,,,
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.052,0.072,0.126,-0.148,-0.230,-0.042,0.283,0.303,0.276,0.453
CovidActNow-SEIR_CAN,,,,,,,,9.645,0.404,,,-0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.096,-0.017,0.034,0.044,0.016
MITCovAlliance-SIR,,,,,,,,,,,-0.132,-0.519,-0.621,-0.635,-0.655,-0.496,,-0.714,,,,,,,,,,,,,,,,,,,,,,,,,
SWC-TerminusCM,,,,,,,-0.159,,,,-0.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.270,-0.082,-0.082,0.127,0.178
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,-0.180,-0.330,-0.297,-0.305,-0.302,-0.325,-0.362,-0.418,-0.486,-0.562,-0.615,-0.692,-0.730,-0.749,-0.754,-0.716,-0.735,-0.744,,-0.676,-0.621,-0.551,-0.452,-0.339,-0.202
FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001,0.228,0.107
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001,-0.453,0.264,0.371
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,0.146
AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.518,-0.712,-0.329,0.129,0.434,0.453,0.453,0.496
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.388,-0.410,,,,,,,,,,,,,
